ticker,fiscal_year,period_end_date,currency,revenue,gross_profit,operating_income,net_income,total_assets,total_liabilities,total_equity,current_assets,current_liabilities,cash_and_equivalents,inventory,long_term_debt,operating_cash_flow,capital_expenditure,free_cash_flow,shares_outstanding,source,source_url,notes
AMZN,2021,2021-12-31,USD,469822.0,197478.0,24879.0,33364.0,420549.0,282304.0,138245.0,161580.0,142266.0,36220.0,32640.0,48744.0,46327.0,61053.0,-14726.0,10175.0,SEC 10-K,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000008/amzn-20231231.htm | https://www.sec.gov/Archives/edgar/data/1018724/000101872423000004/amzn-20221231.htm,"USD millions; fiscal-year-end shares in millions. Gross profit derived as revenue minus cost of sales. CapEx is gross purchases of property and equipment, entered as a positive amount; project FCF = OCF - CapEx and therefore differs from Amazon's issuer-defined non-GAAP FCF. Latest comparative 2023 10-K used for income/cash-flow data; 2021 balance sheet from 2022 10-K."
AMZN,2022,2022-12-31,USD,513983.0,225152.0,12248.0,-2722.0,462675.0,316632.0,146043.0,146791.0,155393.0,53888.0,34405.0,67150.0,46752.0,63645.0,-16893.0,10242.0,SEC 10-K,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000008/amzn-20231231.htm,"USD millions; fiscal-year-end shares in millions. Gross profit derived as revenue minus cost of sales. CapEx is gross purchases of property and equipment, entered as a positive amount; project FCF = OCF - CapEx and therefore differs from Amazon's issuer-defined non-GAAP FCF. Latest comparative 2023 10-K."
AMZN,2023,2023-12-31,USD,574785.0,270046.0,36852.0,30425.0,527854.0,325979.0,201875.0,172351.0,164917.0,73387.0,33318.0,58314.0,84946.0,52729.0,32217.0,10383.0,SEC 10-K,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000008/amzn-20231231.htm,"USD millions; fiscal-year-end shares in millions. Gross profit derived as revenue minus cost of sales. CapEx is gross purchases of property and equipment, entered as a positive amount; project FCF = OCF - CapEx and therefore differs from Amazon's issuer-defined non-GAAP FCF. Latest comparative 2023 10-K."
BKNG,2021,2021-12-31,USD,10958.0,,2496.0,1165.0,23641.0,17463.0,6178.0,13145.0,6246.0,11127.0,,8937.0,2820.0,304.0,2516.0,41.066,SEC 10-K,https://www.sec.gov/Archives/edgar/data/1075531/000107553124000014/bkng-20231231.htm | https://www.sec.gov/Archives/edgar/data/1075531/000107553123000016/bkng-20221231.htm,USD millions; fiscal-year-end shares in millions. Gross profit and inventory are left blank because Booking Holdings does not present reliable consolidated lines under the project definition. CapEx is additions to property and equipment entered as positive. 2021 balance sheet from Booking Holdings 2022 Form 10-K.
BKNG,2022,2022-12-31,USD,17090.0,,5102.0,3058.0,25361.0,22579.0,2782.0,15798.0,8474.0,12221.0,,11985.0,6554.0,368.0,6186.0,37.863,SEC 10-K,https://www.sec.gov/Archives/edgar/data/1075531/000107553124000014/bkng-20231231.htm,USD millions; fiscal-year-end shares in millions. Gross profit and inventory are left blank because Booking Holdings does not present reliable consolidated lines under the project definition. CapEx is additions to property and equipment entered as positive.
BKNG,2023,2023-12-31,USD,21365.0,,5835.0,4289.0,24342.0,27086.0,-2744.0,17034.0,13330.0,12107.0,,12223.0,7344.0,345.0,6999.0,34.398,SEC 10-K,https://www.sec.gov/Archives/edgar/data/1075531/000107553124000014/bkng-20231231.htm,USD millions; fiscal-year-end shares in millions. Gross profit and inventory are left blank because Booking Holdings does not present reliable consolidated lines under the project definition. CapEx is additions to property and equipment entered as positive. Negative equity reflects treasury stock and buyback effects.
CHWY,2021,2022-01-30,USD,8967.407,2385.471,-73.566,-75.207,2086.281,2071.545,14.736,1323.532,1644.879,603.079,560.43,0.0,191.743,183.186,8.557,420.106,SEC 10-K,https://www.sec.gov/Archives/edgar/data/1766502/000176650224000014/chwy-20240128.htm | https://www.sec.gov/Archives/edgar/data/1766502/000176650223000011/chwy-20230129.htm,USD millions converted from 10-K values reported in USD thousands; fiscal-year-end shares in millions. Chewy fiscal year ends on the Sunday closest to January 31. Income statement and cash-flow values use Chewy 2024 Form 10-K comparative restated data; 2021 balance sheet from Chewy 2023 Form 10-K.
CHWY,2022,2023-01-29,USD,10119.0,2834.495,56.421,49.899,2519.818,2359.55,160.268,1524.78,1827.718,331.641,678.005,0.0,349.777,230.31,119.467,425.349,SEC 10-K,https://www.sec.gov/Archives/edgar/data/1766502/000176650224000014/chwy-20240128.htm,USD millions converted from 10-K values reported in USD thousands; fiscal-year-end shares in millions. Chewy fiscal year ends on the Sunday closest to January 31. Uses latest comparative restated values from Chewy 2024 Form 10-K.
CHWY,2023,2024-01-28,USD,11147.72,3161.518,-23.625,39.58,3186.851,2676.607,510.244,2104.348,2110.877,602.232,719.273,0.0,486.211,143.282,342.929,431.776,SEC 10-K,https://www.sec.gov/Archives/edgar/data/1766502/000176650224000014/chwy-20240128.htm,USD millions converted from 10-K values reported in USD thousands; fiscal-year-end shares in millions. Chewy fiscal year ends on the Sunday closest to January 31. CapEx entered as positive; FCF = OCF - CapEx.
DASH,2021,2021-12-31,USD,4888.0,,-452.0,-468.0,6809.0,2142.0,4667.0,4565.0,1760.0,2504.0,,0.0,692.0,237.0,455.0,346.512,SEC 10-K,https://www.sec.gov/Archives/edgar/data/1792789/000162828024005600/dash-20231231.htm | https://www.sec.gov/Archives/edgar/data/1792789/000162828023005131/dash-20221231.htm,USD millions; fiscal-year-end shares in millions. Inventory is not separately reported and is left blank rather than set to zero. Gross profit is left blank because DoorDash does not present it as a primary statement line. CapEx includes purchases of property and equipment plus capitalized software and website development costs; entered as positive. 2021 balance sheet from DoorDash 2022 Form 10-K.
