company_id,ticker,cik,peer_group,fiscal_year,period_start,period_end,duration_days,canonical_field,taxonomy,source_tag,source_priority,value_raw,value_standardized,unit,form,raw_fy,raw_fp,frame,accession_number,filing_date,loaded_at,source_url
abnb,ABNB,0001559720,marketplace_platform,2019,2019-01-01,2019-12-31,364.0,net_income,us-gaap,NetIncomeLoss,1,-674339000.0,-674.339,USD,10-K,2021,FY,CY2019,0001559720-22-000006,2022-02-25,2026-08-05T17:15:02+00:00,https://www.sec.gov/Archives/edgar/data/1559720/000155972022000006/
abnb,ABNB,0001559720,marketplace_platform,2019,2019-01-01,2019-12-31,364.0,revenue,us-gaap,RevenueFromContractWithCustomerExcludingAssessedTax,1,4805239000.0,4805.239,USD,10-K,2021,FY,CY2019,0001559720-22-000006,2022-02-25,2026-08-05T17:15:02+00:00,https://www.sec.gov/Archives/edgar/data/1559720/000155972022000006/
abnb,ABNB,0001559720,marketplace_platform,2019,,2019-12-31,,total_equity,us-gaap,StockholdersEquity,1,-807685000.0,-807.685,USD,10-K,2021,FY,,0001559720-22-000006,2022-02-25,2026-08-05T17:15:02+00:00,https://www.sec.gov/Archives/edgar/data/1559720/000155972022000006/
abnb,ABNB,0001559720,marketplace_platform,2019,,2019-12-31,,total_equity,us-gaap,StockholdersEquity,1,-808000000.0,-808.0,USD,10-K,2022,FY,CY2019Q4I,0001559720-23-000003,2023-02-17,2026-08-05T17:15:02+00:00,https://www.sec.gov/Archives/edgar/data/1559720/000155972023000003/
abnb,ABNB,0001559720,marketplace_platform,2020,2020-01-01,2020-12-31,365.0,net_income,us-gaap,NetIncomeLoss,1,-4584716000.0,-4584.716,USD,10-K,2021,FY,,0001559720-22-000006,2022-02-25,2026-08-05T17:15:02+00:00,https://www.sec.gov/Archives/edgar/data/1559720/000155972022000006/
abnb,ABNB,0001559720,marketplace_platform,2020,2020-01-01,2020-12-31,365.0,net_income,us-gaap,NetIncomeLoss,1,-4585000000.0,-4585.0,USD,10-K,2022,FY,CY2020,0001559720-23-000003,2023-02-17,2026-08-05T17:15:02+00:00,https://www.sec.gov/Archives/edgar/data/1559720/000155972023000003/
abnb,ABNB,0001559720,marketplace_platform,2020,2020-01-01,2020-12-31,365.0,net_income,us-gaap,NetIncomeLossAvailableToCommonStockholdersBasic,3,-4585000000.0,-4585.0,USD,10-K,2022,FY,CY2020,0001559720-23-000003,2023-02-17,2026-08-05T17:15:02+00:00,https://www.sec.gov/Archives/edgar/data/1559720/000155972023000003/
abnb,ABNB,0001559720,marketplace_platform,2020,2020-01-01,2020-12-31,365.0,revenue,us-gaap,RevenueFromContractWithCustomerExcludingAssessedTax,1,3378199000.0,3378.199,USD,10-K,2021,FY,,0001559720-22-000006,2022-02-25,2026-08-05T17:15:02+00:00,https://www.sec.gov/Archives/edgar/data/1559720/000155972022000006/
abnb,ABNB,0001559720,marketplace_platform,2020,2020-01-01,2020-12-31,365.0,revenue,us-gaap,RevenueFromContractWithCustomerExcludingAssessedTax,1,3378000000.0,3378.0,USD,10-K,2022,FY,CY2020,0001559720-23-000003,2023-02-17,2026-08-05T17:15:02+00:00,https://www.sec.gov/Archives/edgar/data/1559720/000155972023000003/
abnb,ABNB,0001559720,marketplace_platform,2020,,2020-12-31,,total_assets,us-gaap,Assets,1,10491499000.0,10491.499,USD,10-K,2021,FY,CY2020Q4I,0001559720-22-000006,2022-02-25,2026-08-05T17:15:02+00:00,https://www.sec.gov/Archives/edgar/data/1559720/000155972022000006/
abnb,ABNB,0001559720,marketplace_platform,2020,,2020-12-31,,total_equity,us-gaap,StockholdersEquity,1,2901783000.0,2901.783,USD,10-K,2021,FY,,0001559720-22-000006,2022-02-25,2026-08-05T17:15:02+00:00,https://www.sec.gov/Archives/edgar/data/1559720/000155972022000006/
abnb,ABNB,0001559720,marketplace_platform,2020,,2020-12-31,,total_equity,us-gaap,StockholdersEquity,1,2901000000.0,2901.0,USD,10-K,2022,FY,,0001559720-23-000003,2023-02-17,2026-08-05T17:15:02+00:00,https://www.sec.gov/Archives/edgar/data/1559720/000155972023000003/
abnb,ABNB,0001559720,marketplace_platform,2020,,2020-12-31,,total_equity,us-gaap,StockholdersEquity,1,2901000000.0,2901.0,USD,10-K,2023,FY,CY2020Q4I,0001559720-24-000006,2024-02-16,2026-08-05T17:15:02+00:00,https://www.sec.gov/Archives/edgar/data/1559720/000155972024000006/
abnb,ABNB,0001559720,marketplace_platform,2021,2021-01-01,2021-12-31,364.0,net_income,us-gaap,NetIncomeLoss,1,-352034000.0,-352.034,USD,10-K,2021,FY,,0001559720-22-000006,2022-02-25,2026-08-05T17:15:02+00:00,https://www.sec.gov/Archives/edgar/data/1559720/000155972022000006/
abnb,ABNB,0001559720,marketplace_platform,2021,2021-01-01,2021-12-31,364.0,net_income,us-gaap,NetIncomeLoss,1,-352000000.0,-352.0,USD,10-K,2022,FY,,0001559720-23-000003,2023-02-17,2026-08-05T17:15:02+00:00,https://www.sec.gov/Archives/edgar/data/1559720/000155972023000003/
abnb,ABNB,0001559720,marketplace_platform,2021,2021-01-01,2021-12-31,364.0,net_income,us-gaap,NetIncomeLossAvailableToCommonStockholdersBasic,3,-352000000.0,-352.0,USD,10-K,2022,FY,,0001559720-23-000003,2023-02-17,2026-08-05T17:15:02+00:00,https://www.sec.gov/Archives/edgar/data/1559720/000155972023000003/
abnb,ABNB,0001559720,marketplace_platform,2021,2021-01-01,2021-12-31,364.0,net_income,us-gaap,NetIncomeLoss,1,-352000000.0,-352.0,USD,10-K,2023,FY,,0001559720-24-000006,2024-02-16,2026-08-05T17:15:02+00:00,https://www.sec.gov/Archives/edgar/data/1559720/000155972024000006/
abnb,ABNB,0001559720,marketplace_platform,2021,2021-01-01,2021-12-31,364.0,net_income,us-gaap,NetIncomeLossAvailableToCommonStockholdersBasic,3,-352000000.0,-352.0,USD,10-K,2023,FY,CY2021,0001559720-24-000006,2024-02-16,2026-08-05T17:15:02+00:00,https://www.sec.gov/Archives/edgar/data/1559720/000155972024000006/
abnb,ABNB,0001559720,marketplace_platform,2021,2021-01-01,2021-12-31,364.0,revenue,us-gaap,RevenueFromContractWithCustomerExcludingAssessedTax,1,5991760000.0,5991.76,USD,10-K,2021,FY,,0001559720-22-000006,2022-02-25,2026-08-05T17:15:02+00:00,https://www.sec.gov/Archives/edgar/data/1559720/000155972022000006/
abnb,ABNB,0001559720,marketplace_platform,2021,2021-01-01,2021-12-31,364.0,revenue,us-gaap,RevenueFromContractWithCustomerExcludingAssessedTax,1,5992000000.0,5992.0,USD,10-K,2022,FY,,0001559720-23-000003,2023-02-17,2026-08-05T17:15:02+00:00,https://www.sec.gov/Archives/edgar/data/1559720/000155972023000003/
abnb,ABNB,0001559720,marketplace_platform,2021,2021-01-01,2021-12-31,364.0,revenue,us-gaap,RevenueFromContractWithCustomerExcludingAssessedTax,1,5992000000.0,5992.0,USD,10-K,2023,FY,CY2021,0001559720-24-000006,2024-02-16,2026-08-05T17:15:02+00:00,https://www.sec.gov/Archives/edgar/data/1559720/000155972024000006/
abnb,ABNB,0001559720,marketplace_platform,2021,,2021-12-31,,total_assets,us-gaap,Assets,1,13708474000.0,13708.474,USD,10-K,2021,FY,,0001559720-22-000006,2022-02-25,2026-08-05T17:15:02+00:00,https://www.sec.gov/Archives/edgar/data/1559720/000155972022000006/
abnb,ABNB,0001559720,marketplace_platform,2021,,2021-12-31,,total_assets,us-gaap,Assets,1,13708000000.0,13708.0,USD,10-K,2022,FY,CY2021Q4I,0001559720-23-000003,2023-02-17,2026-08-05T17:15:02+00:00,https://www.sec.gov/Archives/edgar/data/1559720/000155972023000003/
abnb,ABNB,0001559720,marketplace_platform,2021,,2021-12-31,,total_equity,us-gaap,StockholdersEquity,1,4775713000.0,4775.713,USD,10-K,2021,FY,,0001559720-22-000006,2022-02-25,2026-08-05T17:15:02+00:00,https://www.sec.gov/Archives/edgar/data/1559720/000155972022000006/
abnb,ABNB,0001559720,marketplace_platform,2021,,2021-12-31,,total_equity,us-gaap,StockholdersEquity,1,4775000000.0,4775.0,USD,10-K,2022,FY,,0001559720-23-000003,2023-02-17,2026-08-05T17:15:02+00:00,https://www.sec.gov/Archives/edgar/data/1559720/000155972023000003/
abnb,ABNB,0001559720,marketplace_platform,2021,,2021-12-31,,total_equity,us-gaap,StockholdersEquity,1,4775000000.0,4775.0,USD,10-K,2023,FY,,0001559720-24-000006,2024-02-16,2026-08-05T17:15:02+00:00,https://www.sec.gov/Archives/edgar/data/1559720/000155972024000006/
abnb,ABNB,0001559720,marketplace_platform,2021,,2021-12-31,,total_equity,us-gaap,StockholdersEquity,1,4775000000.0,4775.0,USD,10-K,2024,FY,CY2021Q4I,0001559720-25-000010,2025-02-13,2026-08-05T17:15:02+00:00,https://www.sec.gov/Archives/edgar/data/1559720/000155972025000010/
abnb,ABNB,0001559720,marketplace_platform,2022,2022-01-01,2022-12-31,364.0,net_income,us-gaap,NetIncomeLoss,1,1893000000.0,1893.0,USD,10-K,2022,FY,,0001559720-23-000003,2023-02-17,2026-08-05T17:15:02+00:00,https://www.sec.gov/Archives/edgar/data/1559720/000155972023000003/
abnb,ABNB,0001559720,marketplace_platform,2022,2022-01-01,2022-12-31,364.0,net_income,us-gaap,NetIncomeLossAvailableToCommonStockholdersBasic,3,1893000000.0,1893.0,USD,10-K,2022,FY,,0001559720-23-000003,2023-02-17,2026-08-05T17:15:02+00:00,https://www.sec.gov/Archives/edgar/data/1559720/000155972023000003/
