company_id,ticker,company_name,peer_group,status_group,listing_date,coverage_verified,expected_years,complete_annual_years,complete_annual_year_count,revenue_year_count,net_income_year_count,assets_year_count,equity_year_count,expected_core_coverage_rate,prior_balance_year_count,latest_restated_selectable,core_conflict_count,high_conflict_count,company_override_required,estimated_manual_review_minutes,primary_failure_reason,formal_sample_viable
abnb,ABNB,Airbnb Inc,marketplace_platform,active,2020-12-10,1,2020|2021|2022|2023|2024,2020|2021|2022|2023|2024,5,6,6,5,6,1.0,4,1,16,0,0,30,none,1
aka,AKA,a.k.a. Brands Holding Corp,dtc_brand,active,2021-09-22,1,2021|2022|2023|2024,2020|2021|2022|2023|2024,5,6,6,5,6,1.0,4,1,9,0,0,30,short_public_history,1
amzn,AMZN,Amazon.com Inc,hybrid,active,1997-05-15,1,2018|2019|2020|2021|2022|2023|2024,2018|2019|2020|2021|2022|2023|2024,7,7,7,7,7,1.0,7,1,0,0,0,20,none,1
aprn,APRN,Blue Apron Holdings Inc,inventory_led_ecommerce,acquired,2017-06-29,1,2018|2019|2020|2021|2022|2023|2024,2018|2019|2020|2021|2022,5,5,5,5,5,0.7142857142857143,5,1,0,0,1,60,mapped_core_field_gaps_require_review,0
bark,BARK,BARK Inc,dtc_brand,active,2021-06-02,1,2021|2022|2023|2024,2021|2022|2023|2024,4,5,5,4,5,1.0,3,1,6,4,0,60,short_public_history,0
bbby,BBBY,Bed Bath & Beyond Inc,inventory_led_ecommerce,bankrupt,1992-06-04,1,2018|2019|2020|2021|2022|2023|2024,2018|2019|2020|2021|2022,5,5,5,5,5,0.7142857142857143,5,1,0,0,1,60,mapped_core_field_gaps_require_review,0
bird,BIRD,Allbirds Inc,dtc_brand,active,2021-11-03,1,2021|2022|2023|2024,2020|2021|2022|2023|2024,5,6,6,5,6,1.0,4,1,0,0,0,30,short_public_history,1
bkng,BKNG,Booking Holdings Inc,marketplace_platform,active,1999-03-30,1,2018|2019|2020|2021|2022|2023|2024,2018|2019|2020|2021|2022|2023|2024,7,7,7,7,7,1.0,7,1,8,0,0,20,none,1
boxd,BOXD,Boxed Inc,inventory_led_ecommerce,bankrupt,2021-12-09,1,2021|2022|2023|2024,2020|2021,2,3,3,2,3,0.25,1,1,3,0,1,60,core_field_coverage_below_50pct,0
byon,BYON,Bed Bath & Beyond Inc,hybrid,active,2002-05-30,1,2018|2019|2020|2021|2022|2023|2024,2018|2019|2020|2021|2022|2023|2024,7,7,7,7,7,1.0,7,1,67,21,0,60,high_value_conflicts_require_review,1
