company_id,ticker,period_end,fiscal_year,canonical_field,winning_tag,discarded_tag,winning_value,discarded_value,relative_difference,resolution_rule,conflict_severity,winning_accession,discarded_accession
abnb,ABNB,2019-12-31,2019,total_equity,StockholdersEquity,StockholdersEquity,-808.0,-807.685,0.00038985148514858236,latest valid filing then configured source-tag priority,low,0001559720-23-000003,0001559720-22-000006
abnb,ABNB,2020-12-31,2020,net_income,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,-4585.0,-4585.0,0.0,latest valid filing then configured source-tag priority,low,0001559720-23-000003,0001559720-23-000003
abnb,ABNB,2020-12-31,2020,net_income,NetIncomeLoss,NetIncomeLoss,-4585.0,-4584.716,6.194111232271554e-05,latest valid filing then configured source-tag priority,low,0001559720-23-000003,0001559720-22-000006
abnb,ABNB,2020-12-31,2020,revenue,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,3378.0,3378.199,5.8910597986995e-05,latest valid filing then configured source-tag priority,low,0001559720-23-000003,0001559720-22-000006
abnb,ABNB,2020-12-31,2020,total_equity,StockholdersEquity,StockholdersEquity,2901.0,2901.0,0.0,latest valid filing then configured source-tag priority,low,0001559720-24-000006,0001559720-23-000003
abnb,ABNB,2020-12-31,2020,total_equity,StockholdersEquity,StockholdersEquity,2901.0,2901.783,0.0002699069286452609,latest valid filing then configured source-tag priority,low,0001559720-24-000006,0001559720-22-000006
abnb,ABNB,2021-12-31,2021,net_income,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,-352.0,-352.0,0.0,latest valid filing then configured source-tag priority,low,0001559720-24-000006,0001559720-24-000006
abnb,ABNB,2021-12-31,2021,net_income,NetIncomeLoss,NetIncomeLoss,-352.0,-352.0,0.0,latest valid filing then configured source-tag priority,low,0001559720-24-000006,0001559720-23-000003
abnb,ABNB,2021-12-31,2021,net_income,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,-352.0,-352.0,0.0,latest valid filing then configured source-tag priority,low,0001559720-24-000006,0001559720-23-000003
abnb,ABNB,2021-12-31,2021,net_income,NetIncomeLoss,NetIncomeLoss,-352.0,-352.034,9.659090909088583e-05,latest valid filing then configured source-tag priority,low,0001559720-24-000006,0001559720-22-000006
abnb,ABNB,2021-12-31,2021,revenue,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,5992.0,5992.0,0.0,latest valid filing then configured source-tag priority,low,0001559720-24-000006,0001559720-23-000003
abnb,ABNB,2021-12-31,2021,revenue,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,5992.0,5991.76,4.005340453934942e-05,latest valid filing then configured source-tag priority,low,0001559720-24-000006,0001559720-22-000006
abnb,ABNB,2021-12-31,2021,total_assets,Assets,Assets,13708.0,13708.474,3.4578348409699454e-05,latest valid filing then configured source-tag priority,low,0001559720-23-000003,0001559720-22-000006
abnb,ABNB,2021-12-31,2021,total_equity,StockholdersEquity,StockholdersEquity,4775.0,4775.0,0.0,latest valid filing then configured source-tag priority,low,0001559720-25-000010,0001559720-24-000006
abnb,ABNB,2021-12-31,2021,total_equity,StockholdersEquity,StockholdersEquity,4775.0,4775.0,0.0,latest valid filing then configured source-tag priority,low,0001559720-25-000010,0001559720-23-000003
abnb,ABNB,2021-12-31,2021,total_equity,StockholdersEquity,StockholdersEquity,4775.0,4775.713,0.00014931937172769384,latest valid filing then configured source-tag priority,low,0001559720-25-000010,0001559720-22-000006
aka,AKA,2019-12-31,2019,net_income,NetIncomeLoss,ProfitLoss,1.394,1.442,0.034433285509325715,latest valid filing then configured source-tag priority,medium,0001865107-22-000033,0001865107-22-000033
aka,AKA,2020-12-31,2020,net_income,NetIncomeLoss,ProfitLoss,14.334,14.805,0.032858936793637515,latest valid filing then configured source-tag priority,medium,0001865107-23-000012,0001865107-23-000012
aka,AKA,2020-12-31,2020,net_income,NetIncomeLoss,NetIncomeLoss,14.334,14.334,0.0,latest valid filing then configured source-tag priority,low,0001865107-23-000012,0001865107-22-000033
aka,AKA,2020-12-31,2020,net_income,NetIncomeLoss,ProfitLoss,14.334,14.805,0.032858936793637515,latest valid filing then configured source-tag priority,medium,0001865107-23-000012,0001865107-22-000033
aka,AKA,2021-12-31,2021,net_income,NetIncomeLoss,ProfitLoss,-5.968,-6.091,0.020609919571045614,latest valid filing then configured source-tag priority,medium,0001865107-24-000010,0001865107-24-000010
aka,AKA,2021-12-31,2021,net_income,NetIncomeLoss,NetIncomeLoss,-5.968,-5.968,0.0,latest valid filing then configured source-tag priority,low,0001865107-24-000010,0001865107-23-000012
aka,AKA,2021-12-31,2021,net_income,NetIncomeLoss,ProfitLoss,-5.968,-6.091,0.020609919571045614,latest valid filing then configured source-tag priority,medium,0001865107-24-000010,0001865107-23-000012
aka,AKA,2021-12-31,2021,net_income,NetIncomeLoss,NetIncomeLoss,-5.968,-5.968,0.0,latest valid filing then configured source-tag priority,low,0001865107-24-000010,0001865107-22-000033
aka,AKA,2021-12-31,2021,net_income,NetIncomeLoss,ProfitLoss,-5.968,-6.091,0.020609919571045614,latest valid filing then configured source-tag priority,medium,0001865107-24-000010,0001865107-22-000033
bark,BARK,2021-03-31,2021,total_assets,Assets,Assets,150.863,254.714835,0.6883850579664994,latest valid filing then configured source-tag priority,high,0001819574-22-000049,0001193125-21-184522
bark,BARK,2021-03-31,2021,total_assets,Assets,Assets,150.863,254.714835,0.6883850579664994,latest valid filing then configured source-tag priority,high,0001819574-22-000049,0001193125-21-183287
bark,BARK,2021-03-31,2021,total_equity,StockholdersEquity,StockholdersEquity,-158.97,-158.97,0.0,latest valid filing then configured source-tag priority,low,0001819574-24-000025,0001819574-23-000009
bark,BARK,2021-03-31,2021,total_equity,StockholdersEquity,StockholdersEquity,-158.97,-158.97,0.0,latest valid filing then configured source-tag priority,low,0001819574-24-000025,0001819574-22-000049
bark,BARK,2021-03-31,2021,total_equity,StockholdersEquity,StockholdersEquity,-158.97,5.000004,1.0314525004717872,latest valid filing then configured source-tag priority,high,0001819574-24-000025,0001193125-21-184522
bark,BARK,2021-03-31,2021,total_equity,StockholdersEquity,StockholdersEquity,-158.97,5.000004,1.0314525004717872,latest valid filing then configured source-tag priority,high,0001819574-24-000025,0001193125-21-183287
bkng,BKNG,2017-12-31,2017,net_income,NetIncomeLossAvailableToCommonStockholdersBasic,NetIncomeLossAvailableToCommonStockholdersBasic,2341.0,2341.0,0.0,latest valid filing then configured source-tag priority,low,0001075531-20-000011,0001075531-19-000009
bkng,BKNG,2017-12-31,2017,net_income,NetIncomeLossAvailableToCommonStockholdersBasic,NetIncomeLossAvailableToCommonStockholdersBasic,2341.0,2340.765,0.00010038445108933248,latest valid filing then configured source-tag priority,low,0001075531-20-000011,0001075531-18-000015
bkng,BKNG,2017-12-31,2017,revenue,Revenues,Revenues,12681.0,12681.0,0.0,latest valid filing then configured source-tag priority,low,0001075531-20-000011,0001075531-19-000009
bkng,BKNG,2017-12-31,2017,revenue,Revenues,SalesRevenueNet,12681.0,12681.082,6.466367005783037e-06,latest valid filing then configured source-tag priority,low,0001075531-20-000011,0001075531-18-000015
bkng,BKNG,2017-12-31,2017,total_assets,Assets,Assets,25451.0,25451.263,1.0333582177478703e-05,latest valid filing then configured source-tag priority,low,0001075531-19-000009,0001075531-18-000015
bkng,BKNG,2017-12-31,2017,total_equity,StockholdersEquity,StockholdersEquity,11261.0,11261.0,0.0,latest valid filing then configured source-tag priority,low,0001075531-21-000019,0001075531-20-000011
bkng,BKNG,2017-12-31,2017,total_equity,StockholdersEquity,StockholdersEquity,11261.0,11261.0,0.0,latest valid filing then configured source-tag priority,low,0001075531-21-000019,0001075531-19-000009
bkng,BKNG,2017-12-31,2017,total_equity,StockholdersEquity,StockholdersEquity,11261.0,11260.598,3.5698428203538196e-05,latest valid filing then configured source-tag priority,low,0001075531-21-000019,0001075531-18-000015
boxd,BOXD,2019-12-31,2019,net_income,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,-65.402,-66.557122,0.017661875783615267,latest valid filing then configured source-tag priority,medium,0001828672-22-000026,0001828672-22-000026
boxd,BOXD,2020-12-31,2020,net_income,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,-34.436576,-35.52687,0.03166092935604283,latest valid filing then configured source-tag priority,medium,0001828672-22-000026,0001828672-22-000026
boxd,BOXD,2021-12-31,2021,net_income,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,-69.222605,-67.183461,0.029457776112297527,latest valid filing then configured source-tag priority,medium,0001828672-22-000026,0001828672-22-000026
byon,BYON,2017-12-31,2017,net_income,NetIncomeLoss,ProfitLoss,-109.878,-111.922,0.01860244998998887,latest valid filing then configured source-tag priority,medium,0001130713-20-000014,0001130713-20-000014
byon,BYON,2017-12-31,2017,net_income,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,-109.878,-107.134,0.024973152041354956,latest valid filing then configured source-tag priority,medium,0001130713-20-000014,0001130713-20-000014
byon,BYON,2017-12-31,2017,net_income,NetIncomeLoss,NetIncomeLoss,-109.878,-109.878,0.0,latest valid filing then configured source-tag priority,low,0001130713-20-000014,0001130713-19-000016
byon,BYON,2017-12-31,2017,net_income,NetIncomeLoss,ProfitLoss,-109.878,-111.922,0.01860244998998887,latest valid filing then configured source-tag priority,medium,0001130713-20-000014,0001130713-19-000016
byon,BYON,2017-12-31,2017,net_income,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,-109.878,-107.134,0.024973152041354956,latest valid filing then configured source-tag priority,medium,0001130713-20-000014,0001130713-19-000016
byon,BYON,2017-12-31,2017,net_income,NetIncomeLoss,NetIncomeLoss,-109.878,-109.878,0.0,latest valid filing then configured source-tag priority,low,0001130713-20-000014,0001130713-18-000019
byon,BYON,2017-12-31,2017,net_income,NetIncomeLoss,ProfitLoss,-109.878,-111.922,0.01860244998998887,latest valid filing then configured source-tag priority,medium,0001130713-20-000014,0001130713-18-000019
byon,BYON,2017-12-31,2017,net_income,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,-109.878,-107.134,0.024973152041354956,latest valid filing then configured source-tag priority,medium,0001130713-20-000014,0001130713-18-000019
byon,BYON,2017-12-31,2017,total_equity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockholdersEquity,172.123,175.628,0.02036334481736895,latest valid filing then configured source-tag priority,medium,0001130713-20-000014,0001130713-19-000016
byon,BYON,2017-12-31,2017,total_equity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,172.123,172.123,0.0,latest valid filing then configured source-tag priority,low,0001130713-20-000014,0001130713-19-000016
byon,BYON,2017-12-31,2017,total_equity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockholdersEquity,172.123,175.628,0.02036334481736895,latest valid filing then configured source-tag priority,medium,0001130713-20-000014,0001130713-18-000019
byon,BYON,2017-12-31,2017,total_equity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,172.123,172.123,0.0,latest valid filing then configured source-tag priority,low,0001130713-20-000014,0001130713-18-000019
byon,BYON,2018-12-31,2018,net_income,NetIncomeLoss,ProfitLoss,-206.07,-217.57,0.0558062794196147,latest valid filing then configured source-tag priority,high,0001130713-21-000019,0001130713-21-000019
byon,BYON,2018-12-31,2018,net_income,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,-206.07,-204.877,0.005789294899791254,latest valid filing then configured source-tag priority,medium,0001130713-21-000019,0001130713-21-000019
byon,BYON,2018-12-31,2018,net_income,NetIncomeLoss,NetIncomeLoss,-206.07,-206.07,0.0,latest valid filing then configured source-tag priority,low,0001130713-21-000019,0001130713-20-000014
byon,BYON,2018-12-31,2018,net_income,NetIncomeLoss,ProfitLoss,-206.07,-217.57,0.0558062794196147,latest valid filing then configured source-tag priority,high,0001130713-21-000019,0001130713-20-000014
byon,BYON,2018-12-31,2018,net_income,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,-206.07,-204.877,0.005789294899791254,latest valid filing then configured source-tag priority,medium,0001130713-21-000019,0001130713-20-000014
byon,BYON,2018-12-31,2018,net_income,NetIncomeLoss,NetIncomeLoss,-206.07,-206.07,0.0,latest valid filing then configured source-tag priority,low,0001130713-21-000019,0001130713-19-000016
byon,BYON,2018-12-31,2018,net_income,NetIncomeLoss,ProfitLoss,-206.07,-217.57,0.0558062794196147,latest valid filing then configured source-tag priority,high,0001130713-21-000019,0001130713-19-000016
