company_id,ticker,peer_group,fiscal_year,canonical_field,coverage_verified,fact_available,winning_tag,winning_accession,winning_filing_date,version_count,conflict_count,max_relative_difference,latest_restated_selectable
abnb,ABNB,marketplace_platform,2018,revenue,1,0,,,,0,0,,0
abnb,ABNB,marketplace_platform,2018,net_income,1,0,,,,0,0,,0
abnb,ABNB,marketplace_platform,2018,total_assets,1,0,,,,0,0,,0
abnb,ABNB,marketplace_platform,2018,total_equity,1,0,,,,0,0,,0
abnb,ABNB,marketplace_platform,2019,revenue,1,1,RevenueFromContractWithCustomerExcludingAssessedTax,0001559720-22-000006,2022-02-25,1,0,,1
abnb,ABNB,marketplace_platform,2019,net_income,1,1,NetIncomeLoss,0001559720-22-000006,2022-02-25,1,0,,1
abnb,ABNB,marketplace_platform,2019,total_assets,1,0,,,,0,0,,0
abnb,ABNB,marketplace_platform,2019,total_equity,1,1,StockholdersEquity,0001559720-23-000003,2023-02-17,2,1,0.00038985148514858236,1
abnb,ABNB,marketplace_platform,2020,revenue,1,1,RevenueFromContractWithCustomerExcludingAssessedTax,0001559720-23-000003,2023-02-17,2,1,5.8910597986995e-05,1
abnb,ABNB,marketplace_platform,2020,net_income,1,1,NetIncomeLoss,0001559720-23-000003,2023-02-17,3,2,6.194111232271554e-05,1
abnb,ABNB,marketplace_platform,2020,total_assets,1,1,Assets,0001559720-22-000006,2022-02-25,1,0,,1
abnb,ABNB,marketplace_platform,2020,total_equity,1,1,StockholdersEquity,0001559720-24-000006,2024-02-16,3,2,0.0002699069286452609,1
abnb,ABNB,marketplace_platform,2021,revenue,1,1,RevenueFromContractWithCustomerExcludingAssessedTax,0001559720-24-000006,2024-02-16,3,2,4.005340453934942e-05,1
abnb,ABNB,marketplace_platform,2021,net_income,1,1,NetIncomeLoss,0001559720-24-000006,2024-02-16,5,4,9.659090909088583e-05,1
abnb,ABNB,marketplace_platform,2021,total_assets,1,1,Assets,0001559720-23-000003,2023-02-17,2,1,3.4578348409699454e-05,1
