company_id,ticker,peer_group,canonical_field,period_start,period_end,duration_days,source_tag,source_priority,unit,filing_date,accession_number,form
abnb,ABNB,marketplace_platform,total_equity,,2019-12-31,,StockholdersEquity,1,USD,2021-05-14,0001628280-21-010389,10-Q
abnb,ABNB,marketplace_platform,total_equity,,2019-12-31,,StockholdersEquity,1,USD,2021-08-13,0001628280-21-016979,10-Q
abnb,ABNB,marketplace_platform,total_equity,,2019-12-31,,StockholdersEquity,1,USD,2021-11-05,0001559720-21-000017,10-Q
abnb,ABNB,marketplace_platform,net_income,2020-01-01,2020-03-31,90.0,NetIncomeLoss,1,USD,2021-05-14,0001628280-21-010389,10-Q
abnb,ABNB,marketplace_platform,operating_cash_flow,2020-01-01,2020-03-31,90.0,NetCashProvidedByUsedInOperatingActivities,1,USD,2021-05-14,0001628280-21-010389,10-Q
abnb,ABNB,marketplace_platform,revenue,2020-01-01,2020-03-31,90.0,RevenueFromContractWithCustomerExcludingAssessedTax,1,USD,2021-05-14,0001628280-21-010389,10-Q
abnb,ABNB,marketplace_platform,total_equity,,2020-03-31,,StockholdersEquity,1,USD,2021-05-14,0001628280-21-010389,10-Q
abnb,ABNB,marketplace_platform,total_equity,,2020-03-31,,StockholdersEquity,1,USD,2021-08-13,0001628280-21-016979,10-Q
abnb,ABNB,marketplace_platform,net_income,2020-04-01,2020-06-30,90.0,NetIncomeLoss,1,USD,2021-08-13,0001628280-21-016979,10-Q
abnb,ABNB,marketplace_platform,operating_cash_flow,2020-01-01,2020-06-30,181.0,NetCashProvidedByUsedInOperatingActivities,1,USD,2021-08-13,0001628280-21-016979,10-Q
abnb,ABNB,marketplace_platform,revenue,2020-04-01,2020-06-30,90.0,RevenueFromContractWithCustomerExcludingAssessedTax,1,USD,2021-08-13,0001628280-21-016979,10-Q
abnb,ABNB,marketplace_platform,total_equity,,2020-06-30,,StockholdersEquity,1,USD,2021-08-13,0001628280-21-016979,10-Q
abnb,ABNB,marketplace_platform,total_equity,,2020-06-30,,StockholdersEquity,1,USD,2021-11-05,0001559720-21-000017,10-Q
abnb,ABNB,marketplace_platform,net_income,2020-07-01,2020-09-30,91.0,NetIncomeLoss,1,USD,2021-11-05,0001559720-21-000017,10-Q
abnb,ABNB,marketplace_platform,operating_cash_flow,2020-01-01,2020-09-30,273.0,NetCashProvidedByUsedInOperatingActivities,1,USD,2021-11-05,0001559720-21-000017,10-Q
abnb,ABNB,marketplace_platform,revenue,2020-07-01,2020-09-30,91.0,RevenueFromContractWithCustomerExcludingAssessedTax,1,USD,2021-11-05,0001559720-21-000017,10-Q
abnb,ABNB,marketplace_platform,total_equity,,2020-09-30,,StockholdersEquity,1,USD,2021-11-05,0001559720-21-000017,10-Q
abnb,ABNB,marketplace_platform,total_assets,,2020-12-31,,Assets,1,USD,2021-05-14,0001628280-21-010389,10-Q
abnb,ABNB,marketplace_platform,total_assets,,2020-12-31,,Assets,1,USD,2021-08-13,0001628280-21-016979,10-Q
abnb,ABNB,marketplace_platform,total_assets,,2020-12-31,,Assets,1,USD,2021-11-05,0001559720-21-000017,10-Q
abnb,ABNB,marketplace_platform,total_equity,,2020-12-31,,StockholdersEquity,1,USD,2021-05-14,0001628280-21-010389,10-Q
abnb,ABNB,marketplace_platform,total_equity,,2020-12-31,,StockholdersEquity,1,USD,2021-08-13,0001628280-21-016979,10-Q
abnb,ABNB,marketplace_platform,total_equity,,2020-12-31,,StockholdersEquity,1,USD,2021-11-05,0001559720-21-000017,10-Q
abnb,ABNB,marketplace_platform,total_equity,,2020-12-31,,StockholdersEquity,1,USD,2022-05-09,0001559720-22-000009,10-Q
abnb,ABNB,marketplace_platform,total_equity,,2020-12-31,,StockholdersEquity,1,USD,2022-08-03,0001559720-22-000012,10-Q
abnb,ABNB,marketplace_platform,total_equity,,2020-12-31,,StockholdersEquity,1,USD,2022-11-03,0001559720-22-000019,10-Q
abnb,ABNB,marketplace_platform,net_income,2021-01-01,2021-03-31,89.0,NetIncomeLoss,1,USD,2021-05-14,0001628280-21-010389,10-Q
abnb,ABNB,marketplace_platform,net_income,2021-01-01,2021-03-31,89.0,NetIncomeLoss,1,USD,2022-05-09,0001559720-22-000009,10-Q
abnb,ABNB,marketplace_platform,operating_cash_flow,2021-01-01,2021-03-31,89.0,NetCashProvidedByUsedInOperatingActivities,1,USD,2021-05-14,0001628280-21-010389,10-Q
abnb,ABNB,marketplace_platform,operating_cash_flow,2021-01-01,2021-03-31,89.0,NetCashProvidedByUsedInOperatingActivities,1,USD,2022-05-09,0001559720-22-000009,10-Q
abnb,ABNB,marketplace_platform,revenue,2021-01-01,2021-03-31,89.0,RevenueFromContractWithCustomerExcludingAssessedTax,1,USD,2021-05-14,0001628280-21-010389,10-Q
abnb,ABNB,marketplace_platform,revenue,2021-01-01,2021-03-31,89.0,RevenueFromContractWithCustomerExcludingAssessedTax,1,USD,2022-05-09,0001559720-22-000009,10-Q
abnb,ABNB,marketplace_platform,total_assets,,2021-03-31,,Assets,1,USD,2021-05-14,0001628280-21-010389,10-Q
abnb,ABNB,marketplace_platform,total_equity,,2021-03-31,,StockholdersEquity,1,USD,2021-05-14,0001628280-21-010389,10-Q
abnb,ABNB,marketplace_platform,total_equity,,2021-03-31,,StockholdersEquity,1,USD,2021-08-13,0001628280-21-016979,10-Q
abnb,ABNB,marketplace_platform,total_equity,,2021-03-31,,StockholdersEquity,1,USD,2022-05-09,0001559720-22-000009,10-Q
abnb,ABNB,marketplace_platform,total_equity,,2021-03-31,,StockholdersEquity,1,USD,2022-08-03,0001559720-22-000012,10-Q
abnb,ABNB,marketplace_platform,net_income,2021-04-01,2021-06-30,90.0,NetIncomeLoss,1,USD,2021-08-13,0001628280-21-016979,10-Q
abnb,ABNB,marketplace_platform,net_income,2021-04-01,2021-06-30,90.0,NetIncomeLoss,1,USD,2022-08-03,0001559720-22-000012,10-Q
abnb,ABNB,marketplace_platform,operating_cash_flow,2021-01-01,2021-06-30,180.0,NetCashProvidedByUsedInOperatingActivities,1,USD,2021-08-13,0001628280-21-016979,10-Q
abnb,ABNB,marketplace_platform,operating_cash_flow,2021-01-01,2021-06-30,180.0,NetCashProvidedByUsedInOperatingActivities,1,USD,2022-08-03,0001559720-22-000012,10-Q
abnb,ABNB,marketplace_platform,revenue,2021-04-01,2021-06-30,90.0,RevenueFromContractWithCustomerExcludingAssessedTax,1,USD,2021-08-13,0001628280-21-016979,10-Q
abnb,ABNB,marketplace_platform,revenue,2021-04-01,2021-06-30,90.0,RevenueFromContractWithCustomerExcludingAssessedTax,1,USD,2022-08-03,0001559720-22-000012,10-Q
abnb,ABNB,marketplace_platform,total_assets,,2021-06-30,,Assets,1,USD,2021-08-13,0001628280-21-016979,10-Q
abnb,ABNB,marketplace_platform,total_equity,,2021-06-30,,StockholdersEquity,1,USD,2021-08-13,0001628280-21-016979,10-Q
abnb,ABNB,marketplace_platform,total_equity,,2021-06-30,,StockholdersEquity,1,USD,2021-11-05,0001559720-21-000017,10-Q
abnb,ABNB,marketplace_platform,total_equity,,2021-06-30,,StockholdersEquity,1,USD,2022-08-03,0001559720-22-000012,10-Q
abnb,ABNB,marketplace_platform,total_equity,,2021-06-30,,StockholdersEquity,1,USD,2022-11-03,0001559720-22-000019,10-Q
abnb,ABNB,marketplace_platform,net_income,2021-07-01,2021-09-30,91.0,NetIncomeLoss,1,USD,2021-11-05,0001559720-21-000017,10-Q
abnb,ABNB,marketplace_platform,net_income,2021-07-01,2021-09-30,91.0,NetIncomeLoss,1,USD,2022-11-03,0001559720-22-000019,10-Q
abnb,ABNB,marketplace_platform,operating_cash_flow,2021-01-01,2021-09-30,272.0,NetCashProvidedByUsedInOperatingActivities,1,USD,2021-11-05,0001559720-21-000017,10-Q
abnb,ABNB,marketplace_platform,operating_cash_flow,2021-01-01,2021-09-30,272.0,NetCashProvidedByUsedInOperatingActivities,1,USD,2022-11-03,0001559720-22-000019,10-Q
abnb,ABNB,marketplace_platform,revenue,2021-07-01,2021-09-30,91.0,RevenueFromContractWithCustomerExcludingAssessedTax,1,USD,2021-11-05,0001559720-21-000017,10-Q
abnb,ABNB,marketplace_platform,revenue,2021-07-01,2021-09-30,91.0,RevenueFromContractWithCustomerExcludingAssessedTax,1,USD,2022-11-03,0001559720-22-000019,10-Q
abnb,ABNB,marketplace_platform,total_assets,,2021-09-30,,Assets,1,USD,2021-11-05,0001559720-21-000017,10-Q
abnb,ABNB,marketplace_platform,total_equity,,2021-09-30,,StockholdersEquity,1,USD,2021-11-05,0001559720-21-000017,10-Q
abnb,ABNB,marketplace_platform,total_equity,,2021-09-30,,StockholdersEquity,1,USD,2022-11-03,0001559720-22-000019,10-Q
abnb,ABNB,marketplace_platform,total_assets,,2021-12-31,,Assets,1,USD,2022-05-09,0001559720-22-000009,10-Q
abnb,ABNB,marketplace_platform,total_assets,,2021-12-31,,Assets,1,USD,2022-08-03,0001559720-22-000012,10-Q
abnb,ABNB,marketplace_platform,total_assets,,2021-12-31,,Assets,1,USD,2022-11-03,0001559720-22-000019,10-Q
abnb,ABNB,marketplace_platform,total_equity,,2021-12-31,,StockholdersEquity,1,USD,2022-05-09,0001559720-22-000009,10-Q
abnb,ABNB,marketplace_platform,total_equity,,2021-12-31,,StockholdersEquity,1,USD,2022-08-03,0001559720-22-000012,10-Q
abnb,ABNB,marketplace_platform,total_equity,,2021-12-31,,StockholdersEquity,1,USD,2022-11-03,0001559720-22-000019,10-Q
abnb,ABNB,marketplace_platform,total_equity,,2021-12-31,,StockholdersEquity,1,USD,2023-05-09,0001559720-23-000010,10-Q
abnb,ABNB,marketplace_platform,total_equity,,2021-12-31,,StockholdersEquity,1,USD,2023-08-03,0001559720-23-000015,10-Q
abnb,ABNB,marketplace_platform,total_equity,,2021-12-31,,StockholdersEquity,1,USD,2023-11-01,0001559720-23-000020,10-Q
abnb,ABNB,marketplace_platform,net_income,2022-01-01,2022-03-31,89.0,NetIncomeLoss,1,USD,2022-05-09,0001559720-22-000009,10-Q
abnb,ABNB,marketplace_platform,net_income,2022-01-01,2022-03-31,89.0,NetIncomeLoss,1,USD,2023-05-09,0001559720-23-000010,10-Q
abnb,ABNB,marketplace_platform,net_income,2022-01-01,2022-03-31,89.0,NetIncomeLossAvailableToCommonStockholdersBasic,3,USD,2023-05-09,0001559720-23-000010,10-Q
abnb,ABNB,marketplace_platform,net_income,2022-01-01,2022-03-31,89.0,NetIncomeLoss,1,USD,2023-08-03,0001559720-23-000015,10-Q
abnb,ABNB,marketplace_platform,net_income,2022-01-01,2022-03-31,89.0,NetIncomeLoss,1,USD,2023-11-01,0001559720-23-000020,10-Q
abnb,ABNB,marketplace_platform,operating_cash_flow,2022-01-01,2022-03-31,89.0,NetCashProvidedByUsedInOperatingActivities,1,USD,2022-05-09,0001559720-22-000009,10-Q
abnb,ABNB,marketplace_platform,operating_cash_flow,2022-01-01,2022-03-31,89.0,NetCashProvidedByUsedInOperatingActivities,1,USD,2023-05-09,0001559720-23-000010,10-Q
abnb,ABNB,marketplace_platform,revenue,2022-01-01,2022-03-31,89.0,RevenueFromContractWithCustomerExcludingAssessedTax,1,USD,2022-05-09,0001559720-22-000009,10-Q
abnb,ABNB,marketplace_platform,revenue,2022-01-01,2022-03-31,89.0,RevenueFromContractWithCustomerExcludingAssessedTax,1,USD,2023-05-09,0001559720-23-000010,10-Q
abnb,ABNB,marketplace_platform,total_assets,,2022-03-31,,Assets,1,USD,2022-05-09,0001559720-22-000009,10-Q
