conflict_id,company_id,ticker,fiscal_year,canonical_field,winning_accession,winning_filing_date,winning_source_tag,winning_value,discarded_accession,discarded_filing_date,discarded_source_tag,discarded_value,relative_difference,conflict_severity,resolution_rule,resolution_status,review_note,created_at
B1-00001,chwy,CHWY,2021,net_income,0001766502-24-000014,2024-03-20,NetIncomeLoss,-75.207,0001766502-23-000011,2023-03-22,NetIncomeLoss,-73.817,0.018482322124270357,medium,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00002,chwy,CHWY,2021,net_income,0001766502-24-000014,2024-03-20,NetIncomeLoss,-75.207,0001766502-22-000008,2022-03-29,NetIncomeLoss,-73.817,0.018482322124270357,medium,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00003,chwy,CHWY,2021,operating_cash_flow,0001766502-24-000014,2024-03-20,NetCashProvidedByUsedInOperatingActivities,191.743,0001766502-23-000011,2023-03-22,NetCashProvidedByUsedInOperatingActivities,191.739,2.0861256994991618e-05,low,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00004,chwy,CHWY,2021,operating_cash_flow,0001766502-24-000014,2024-03-20,NetCashProvidedByUsedInOperatingActivities,191.743,0001766502-22-000008,2022-03-29,NetCashProvidedByUsedInOperatingActivities,191.739,2.0861256994991618e-05,low,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00005,chwy,CHWY,2021,operating_income,0001766502-24-000014,2024-03-20,OperatingIncomeLoss,-73.566,0001766502-23-000011,2023-03-22,OperatingIncomeLoss,-72.178,0.018867411575999853,medium,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00006,chwy,CHWY,2021,operating_income,0001766502-24-000014,2024-03-20,OperatingIncomeLoss,-73.566,0001766502-22-000008,2022-03-29,OperatingIncomeLoss,-72.178,0.018867411575999853,medium,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00007,chwy,CHWY,2021,revenue,0001766502-24-000014,2024-03-20,RevenueFromContractWithCustomerExcludingAssessedTax,8967.407,0001766502-23-000011,2023-03-22,RevenueFromContractWithCustomerExcludingAssessedTax,8890.773,0.00854583716340744,medium,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00008,chwy,CHWY,2021,revenue,0001766502-24-000014,2024-03-20,RevenueFromContractWithCustomerExcludingAssessedTax,8967.407,0001766502-22-000008,2022-03-29,RevenueFromContractWithCustomerExcludingAssessedTax,8890.773,0.00854583716340744,medium,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00009,chwy,CHWY,2021,total_equity,0001766502-25-000014,2025-03-26,StockholdersEquity,-39.62,0001766502-24-000014,2024-03-20,StockholdersEquity,-39.62,0.0,low,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00010,chwy,CHWY,2021,total_equity,0001766502-25-000014,2025-03-26,StockholdersEquity,-39.62,0001766502-23-000011,2023-03-22,StockholdersEquity,14.736,1.3719333669863705,high,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
