company_id,ticker,fiscal_year,canonical_field,taxonomy,source_tag,source_unit,form,filing_date,period_start,period_end,duration_days,accession_number,value_raw,rejection_reason
amzn,AMZN,2017,net_income,us-gaap,NetIncomeLoss,USD,10-K,2018-02-02,2017-10-01,2017-12-31,91.0,0001018724-18-000005,1856000000.0,invalid_annual_duration
amzn,AMZN,2017,net_income,us-gaap,NetIncomeLoss,USD,10-K,2019-02-01,2017-10-01,2017-12-31,91.0,0001018724-19-000004,1856000000.0,invalid_annual_duration
amzn,AMZN,2017,operating_income,us-gaap,OperatingIncomeLoss,USD,10-K,2018-02-02,2017-10-01,2017-12-31,91.0,0001018724-18-000005,2127000000.0,invalid_annual_duration
amzn,AMZN,2017,operating_income,us-gaap,OperatingIncomeLoss,USD,10-K,2019-02-01,2017-10-01,2017-12-31,91.0,0001018724-19-000004,2127000000.0,invalid_annual_duration
amzn,AMZN,2017,revenue,us-gaap,RevenueFromContractWithCustomerExcludingAssessedTax,USD,10-K,2019-02-01,2017-10-01,2017-12-31,91.0,0001018724-19-000004,60453000000.0,invalid_annual_duration
amzn,AMZN,2017,revenue,us-gaap,SalesRevenueNet,USD,10-K,2018-02-02,2017-10-01,2017-12-31,91.0,0001018724-18-000005,60453000000.0,invalid_annual_duration
amzn,AMZN,2018,net_income,us-gaap,NetIncomeLoss,USD,10-K,2019-02-01,2018-10-01,2018-12-31,91.0,0001018724-19-000004,3027000000.0,invalid_annual_duration
amzn,AMZN,2018,net_income,us-gaap,NetIncomeLoss,USD,10-K,2020-01-31,2018-10-01,2018-12-31,91.0,0001018724-20-000004,3027000000.0,invalid_annual_duration
amzn,AMZN,2018,operating_income,us-gaap,OperatingIncomeLoss,USD,10-K,2019-02-01,2018-10-01,2018-12-31,91.0,0001018724-19-000004,3786000000.0,invalid_annual_duration
amzn,AMZN,2018,operating_income,us-gaap,OperatingIncomeLoss,USD,10-K,2020-01-31,2018-10-01,2018-12-31,91.0,0001018724-20-000004,3786000000.0,invalid_annual_duration
amzn,AMZN,2018,revenue,us-gaap,RevenueFromContractWithCustomerExcludingAssessedTax,USD,10-K,2019-02-01,2018-10-01,2018-12-31,91.0,0001018724-19-000004,72383000000.0,invalid_annual_duration
amzn,AMZN,2018,revenue,us-gaap,RevenueFromContractWithCustomerExcludingAssessedTax,USD,10-K,2020-01-31,2018-10-01,2018-12-31,91.0,0001018724-20-000004,72383000000.0,invalid_annual_duration
amzn,AMZN,2019,net_income,us-gaap,NetIncomeLoss,USD,10-K,2020-01-31,2019-10-01,2019-12-31,91.0,0001018724-20-000004,3268000000.0,invalid_annual_duration
amzn,AMZN,2019,net_income,us-gaap,NetIncomeLoss,USD,10-K,2021-02-03,2019-10-01,2019-12-31,91.0,0001018724-21-000004,3268000000.0,invalid_annual_duration
amzn,AMZN,2019,operating_income,us-gaap,OperatingIncomeLoss,USD,10-K,2020-01-31,2019-10-01,2019-12-31,91.0,0001018724-20-000004,3879000000.0,invalid_annual_duration
amzn,AMZN,2019,operating_income,us-gaap,OperatingIncomeLoss,USD,10-K,2021-02-03,2019-10-01,2019-12-31,91.0,0001018724-21-000004,3879000000.0,invalid_annual_duration
amzn,AMZN,2019,revenue,us-gaap,RevenueFromContractWithCustomerExcludingAssessedTax,USD,10-K,2020-01-31,2019-10-01,2019-12-31,91.0,0001018724-20-000004,87437000000.0,invalid_annual_duration
amzn,AMZN,2019,revenue,us-gaap,RevenueFromContractWithCustomerExcludingAssessedTax,USD,10-K,2021-02-03,2019-10-01,2019-12-31,91.0,0001018724-21-000004,87437000000.0,invalid_annual_duration
amzn,AMZN,2020,net_income,us-gaap,NetIncomeLoss,USD,10-K,2021-02-03,2020-10-01,2020-12-31,91.0,0001018724-21-000004,7222000000.0,invalid_annual_duration
amzn,AMZN,2020,operating_income,us-gaap,OperatingIncomeLoss,USD,10-K,2021-02-03,2020-10-01,2020-12-31,91.0,0001018724-21-000004,6873000000.0,invalid_annual_duration
amzn,AMZN,2020,revenue,us-gaap,RevenueFromContractWithCustomerExcludingAssessedTax,USD,10-K,2021-02-03,2020-10-01,2020-12-31,91.0,0001018724-21-000004,125555000000.0,invalid_annual_duration
bkng,BKNG,2017,net_income,us-gaap,NetIncomeLossAvailableToCommonStockholdersBasic,USD,10-K,2018-02-27,2017-10-01,2017-12-31,91.0,0001075531-18-000015,-555458000.0,invalid_annual_duration
bkng,BKNG,2017,net_income,us-gaap,NetIncomeLossAvailableToCommonStockholdersBasic,USD,10-K,2019-02-27,2017-10-01,2017-12-31,91.0,0001075531-19-000009,-555000000.0,invalid_annual_duration
bkng,BKNG,2017,revenue,us-gaap,Revenues,USD,10-K,2019-02-27,2017-10-01,2017-12-31,91.0,0001075531-19-000009,2803000000.0,invalid_annual_duration
bkng,BKNG,2017,revenue,us-gaap,SalesRevenueNet,USD,10-K,2018-02-27,2017-10-01,2017-12-31,91.0,0001075531-18-000015,2803093000.0,invalid_annual_duration
bkng,BKNG,2018,net_income,us-gaap,NetIncomeLossAvailableToCommonStockholdersBasic,USD,10-K,2019-02-27,2018-10-01,2018-12-31,91.0,0001075531-19-000009,646000000.0,invalid_annual_duration
bkng,BKNG,2018,net_income,us-gaap,NetIncomeLossAvailableToCommonStockholdersBasic,USD,10-K,2020-02-26,2018-10-01,2018-12-31,91.0,0001075531-20-000011,646000000.0,invalid_annual_duration
bkng,BKNG,2018,revenue,us-gaap,Revenues,USD,10-K,2019-02-27,2018-10-01,2018-12-31,91.0,0001075531-19-000009,3213000000.0,invalid_annual_duration
bkng,BKNG,2018,revenue,us-gaap,Revenues,USD,10-K,2020-02-26,2018-10-01,2018-12-31,91.0,0001075531-20-000011,3213000000.0,invalid_annual_duration
bkng,BKNG,2019,net_income,us-gaap,NetIncomeLossAvailableToCommonStockholdersBasic,USD,10-K,2020-02-26,2019-10-01,2019-12-31,91.0,0001075531-20-000011,1171000000.0,invalid_annual_duration
bkng,BKNG,2019,revenue,us-gaap,Revenues,USD,10-K,2020-02-26,2019-10-01,2019-12-31,91.0,0001075531-20-000011,3339000000.0,invalid_annual_duration
byon,BYON,2017,net_income,us-gaap,NetIncomeLoss,USD,10-K,2018-03-15,2017-10-01,2017-12-31,91.0,0001130713-18-000019,-95690000.0,invalid_annual_duration
byon,BYON,2017,net_income,us-gaap,NetIncomeLoss,USD,10-K,2019-03-18,2017-10-01,2017-12-31,91.0,0001130713-19-000016,-95690000.0,invalid_annual_duration
byon,BYON,2017,operating_income,us-gaap,OperatingIncomeLoss,USD,10-K,2018-03-15,2017-10-01,2017-12-31,91.0,0001130713-18-000019,-22715000.0,invalid_annual_duration
byon,BYON,2017,operating_income,us-gaap,OperatingIncomeLoss,USD,10-K,2019-03-18,2017-10-01,2017-12-31,91.0,0001130713-19-000016,-22715000.0,invalid_annual_duration
byon,BYON,2017,net_income,us-gaap,ProfitLoss,USD,10-K,2018-03-15,2017-10-01,2017-12-31,91.0,0001130713-18-000019,-96792000.0,invalid_annual_duration
byon,BYON,2017,net_income,us-gaap,ProfitLoss,USD,10-K,2019-03-18,2017-10-01,2017-12-31,91.0,0001130713-19-000016,-96792000.0,invalid_annual_duration
byon,BYON,2017,revenue,us-gaap,SalesRevenueNet,USD,10-K,2018-03-15,2017-10-01,2017-12-31,91.0,0001130713-18-000019,456290000.0,invalid_annual_duration
byon,BYON,2017,revenue,us-gaap,SalesRevenueNet,USD,10-K,2019-03-18,2017-10-01,2017-12-31,91.0,0001130713-19-000016,456290000.0,invalid_annual_duration
byon,BYON,2018,net_income,us-gaap,NetIncomeLoss,USD,10-K,2019-03-18,2018-10-01,2018-12-31,91.0,0001130713-19-000016,-42327000.0,invalid_annual_duration
byon,BYON,2018,net_income,us-gaap,NetIncomeLoss,USD,10-K,2020-03-13,2018-10-01,2018-12-31,91.0,0001130713-20-000014,-42327000.0,invalid_annual_duration
byon,BYON,2018,operating_income,us-gaap,OperatingIncomeLoss,USD,10-K,2019-03-18,2018-10-01,2018-12-31,91.0,0001130713-19-000016,-48444000.0,invalid_annual_duration
byon,BYON,2018,operating_income,us-gaap,OperatingIncomeLoss,USD,10-K,2020-03-13,2018-10-01,2018-12-31,91.0,0001130713-20-000014,-48444000.0,invalid_annual_duration
byon,BYON,2018,net_income,us-gaap,ProfitLoss,USD,10-K,2019-03-18,2018-10-01,2018-12-31,91.0,0001130713-19-000016,-47941000.0,invalid_annual_duration
byon,BYON,2018,net_income,us-gaap,ProfitLoss,USD,10-K,2020-03-13,2018-10-01,2018-12-31,91.0,0001130713-20-000014,-47941000.0,invalid_annual_duration
byon,BYON,2018,revenue,us-gaap,RevenueFromContractWithCustomerExcludingAssessedTax,USD,10-K,2020-03-13,2018-10-01,2018-12-31,91.0,0001130713-20-000014,452548000.0,invalid_annual_duration
byon,BYON,2018,revenue,us-gaap,SalesRevenueNet,USD,10-K,2019-03-18,2018-10-01,2018-12-31,91.0,0001130713-19-000016,452548000.0,invalid_annual_duration
byon,BYON,2019,net_income,us-gaap,NetIncomeLoss,USD,10-K,2020-03-13,2019-10-01,2019-12-31,91.0,0001130713-20-000014,-26978000.0,invalid_annual_duration
byon,BYON,2019,net_income,us-gaap,NetIncomeLoss,USD,10-K,2021-02-26,2019-10-01,2019-12-31,91.0,0001130713-21-000019,-26978000.0,invalid_annual_duration
byon,BYON,2019,operating_income,us-gaap,OperatingIncomeLoss,USD,10-K,2020-03-13,2019-10-01,2019-12-31,91.0,0001130713-20-000014,-31563000.0,invalid_annual_duration
byon,BYON,2019,operating_income,us-gaap,OperatingIncomeLoss,USD,10-K,2021-02-26,2019-10-01,2019-12-31,91.0,0001130713-21-000019,-31563000.0,invalid_annual_duration
byon,BYON,2019,net_income,us-gaap,ProfitLoss,USD,10-K,2020-03-13,2019-10-01,2019-12-31,91.0,0001130713-20-000014,-29660000.0,invalid_annual_duration
byon,BYON,2019,net_income,us-gaap,ProfitLoss,USD,10-K,2021-02-26,2019-10-01,2019-12-31,91.0,0001130713-21-000019,-29660000.0,invalid_annual_duration
byon,BYON,2019,revenue,us-gaap,RevenueFromContractWithCustomerExcludingAssessedTax,USD,10-K,2020-03-13,2019-10-01,2019-12-31,91.0,0001130713-20-000014,370881000.0,invalid_annual_duration
byon,BYON,2019,revenue,us-gaap,RevenueFromContractWithCustomerExcludingAssessedTax,USD,10-K,2021-02-26,2019-10-01,2019-12-31,91.0,0001130713-21-000019,370881000.0,invalid_annual_duration
