relative_path,sha256,bytes,row_count,analytical_data_as_of,frozen_on
data/reference/q1_formal_sample_v1.csv,d6a6f25bb5d3a0489cd479f1a30e21750667751fb534aabc45d0178b60b74164,3795,21.0,2026-08-05,2026-08-05
data/reference/q1_field_contract_v1.csv,0ce3ad51f5df0d53b90f7b669e5c94f02b045e53a10bd2e2e6ae879d8daa5f4a,1901,17.0,2026-08-05,2026-08-05
data/reference/q1_powerbi_mart_contract_v1.csv,836ac5b25190a0ff0078890d314128f6c40477bdd213388baaeb613f3f8053f2,3012,60.0,2026-08-05,2026-08-05
data/processed/q1_annual_company_metrics.csv,ac04186c9f12176ba09618de07307d2be7ba0663d7dc878e6652519b649632a6,130826,137.0,2026-08-05,2026-08-05
data/processed/q1_dupont_contributions.csv,34a13658af5c194abd3b65e349834319c77ed465d663602423d4f6a3dcb392ea,41265,116.0,2026-08-05,2026-08-05
data/processed/q1_driver_persistence.csv,954349491747dd03b4d452d3d301a93b302fe1dd5c7b335d080261f108c0030d,51926,116.0,2026-08-05,2026-08-05
data/processed/q1_h1_sample_audit.csv,aac873477e94e8cf10db52ca37a1b94c90b35eb909a62c96e11673b2fcf0967f,60810,116.0,2026-08-05,2026-08-05
data/processed/q1_peer_summary.csv,992a869730fe65266e47a25d0a9fd23dc238a980ce561c560ea960002e94b4bb,7433,21.0,2026-08-05,2026-08-05
data/processed/q1_company_vs_peer.csv,317ced060b45eec16ee484f48af6d6aaf88d105842dc32a40b53115084757532,166946,137.0,2026-08-05,2026-08-05
data/processed/q1_powerbi_mart.csv,5de7982d6b5074a73794fc214dbc506137fc33241c2a60b1a9cbd70c13369c68,175160,137.0,2026-08-05,2026-08-05
data/processed/b3_stage_audit.json,3c34ef3d7e7e984b30ca22e04501e986f913e5578b0ec8f5e7b87006279c8275,2423,,2026-08-05,2026-08-05
