ticker,fiscal_year,period_end_date,currency,revenue,gross_profit,operating_income,net_income,total_assets,total_liabilities,total_equity,current_assets,current_liabilities,cash_and_equivalents,inventory,long_term_debt,operating_cash_flow,capital_expenditure,free_cash_flow,shares_outstanding,operating_margin,net_margin,current_ratio,cash_ratio,liabilities_to_assets,operating_cash_flow_margin,free_cash_flow_margin,revenue_growth,operating_margin_change,free_cash_flow_margin_change,liabilities_to_assets_change
BKNG,2021,2021-12-31,USD,10958.0,,2496.0,1165.0,23641.0,17463.0,6178.0,13145.0,6246.0,11127.0,,8937.0,2820.0,304.0,2516.0,41.066,0.2277787917503194,0.10631502098923161,2.1045469100224143,1.781460134486071,0.7386743369569815,0.2573462310640628,0.22960394232524184,,,,
BKNG,2022,2022-12-31,USD,17090.0,,5102.0,3058.0,25361.0,22579.0,2782.0,15798.0,8474.0,12221.0,,11985.0,6554.0,368.0,6186.0,37.863,0.29853715623171445,0.1789350497366881,1.8642907717724806,1.442176067972622,0.8903040100942392,0.383499122293739,0.36196606202457576,0.5595911662712174,0.07075836448139505,0.13236211969933392,0.15162967313725773
BKNG,2023,2023-12-31,USD,21365.0,,5835.0,4289.0,24342.0,27086.0,-2744.0,17034.0,13330.0,12107.0,,12223.0,7344.0,345.0,6999.0,34.398,0.2731102270067868,0.2007488883688275,1.2778694673668418,0.9082520630157539,1.112726973954482,0.3437397612918324,0.327591855838989,0.2501462843768285,-0.025426929224927675,-0.034374206185586786,0.22242296386024285
ETSY,2021,2021-12-31,USD,2329.114,1674.602,465.732,493.507,3831.809,3203.19,628.619,1341.501,615.588,780.196,,2275.418,651.551,28.17,623.381,127.022118,0.19996101521866255,0.21188615069936464,2.179218893155812,1.267399624424128,0.8359471988295867,0.27974199631276103,0.2676472684462847,,,,
ETSY,2022,2022-12-31,USD,2566.111,1821.519,-658.56,-694.288,2634.961,3182.235,-547.274,1513.743,631.755,921.278,,2279.64,683.612,30.743,652.869,125.054278,-0.2566373785077886,-0.2705603927499629,2.396091839399767,1.4582836700936281,1.2076971917231414,0.2664000115349648,0.2544196256514235,0.10175414342106048,-0.45659839372645117,-0.013227642794861216,0.3717499928935547
ETSY,2023,2023-12-31,USD,2748.377,1919.702,279.841,307.568,2685.4,3229.115,-543.715,1570.446,710.781,914.323,,2283.817,705.513,39.896,665.617,119.068884,0.10182045621834268,0.11190895572186785,2.2094653627488636,1.2863638729791596,1.2024707678558129,0.2567016824838805,0.24218547892083217,0.07102810439610763,0.3584578347261313,-0.012234146730591339,-0.005226423867328522
EBAY,2021,2021-12-31,USD,10420.0,7770.0,2923.0,13608.0,26626.0,16848.0,9778.0,9111.0,4622.0,1379.0,,7727.0,2657.0,444.0,2213.0,594.0,0.28051823416506716,1.3059500959692898,1.9712245781047166,0.29835569017741237,0.6327649665740254,0.2549904030710173,0.21238003838771594,,,,
EBAY,2022,2022-12-31,USD,9795.0,7115.0,2350.0,-1269.0,20850.0,15697.0,5153.0,9290.0,4271.0,2154.0,,7721.0,2254.0,449.0,1805.0,539.0,0.23991832567636548,-0.12955589586523736,2.175134628892531,0.504331538281433,0.7528537170263789,0.2301174068402246,0.18427769270035732,-0.059980806142034604,-0.04059990848870168,-0.028102345687358615,0.12008875045235357
EBAY,2023,2023-12-31,USD,10112.0,7279.0,1941.0,2767.0,21620.0,15224.0,6396.0,11016.0,4520.0,1985.0,,6973.0,2426.0,456.0,1970.0,517.0,0.1919501582278481,0.27363528481012656,2.4371681415929203,0.4391592920353982,0.7041628122109158,0.2399129746835443,0.19481803797468356,0.03236345074017355,-0.04796816744851737,0.010540345274326235,-0.04869090481546312
AMZN,2021,2021-12-31,USD,469822.0,197478.0,24879.0,33364.0,420549.0,282304.0,138245.0,161580.0,142266.0,36220.0,32640.0,48744.0,46327.0,61053.0,-14726.0,10175.0,0.052954097509269465,0.07101412875514557,1.1357597739445826,0.2545935079358385,0.6712749287241201,0.09860542929024184,-0.03134378551877094,,,,
AMZN,2022,2022-12-31,USD,513983.0,225152.0,12248.0,-2722.0,462675.0,316632.0,146043.0,146791.0,155393.0,53888.0,34405.0,67150.0,46752.0,63645.0,-16893.0,10242.0,0.023829581912242232,-0.005295895000418302,0.9446435811136924,0.3467852477267316,0.6843507861890096,0.09096020685509054,-0.032866845790619534,0.09399517263985091,-0.029124515597027233,-0.001523060271848592,0.013075857464889484
AMZN,2023,2023-12-31,USD,574785.0,270046.0,36852.0,30425.0,527854.0,325979.0,201875.0,172351.0,164917.0,73387.0,33318.0,58314.0,84946.0,52729.0,32217.0,10383.0,0.0641144079960333,0.05293283575597832,1.0450772206625152,0.4449935422060794,0.6175552330758126,0.14778743356211452,0.0560505232391242,0.1182957412988368,0.04028482608379107,0.08891736902974373,-0.06679555311319696
DASH,2021,2021-12-31,USD,4888.0,,-452.0,-468.0,6809.0,2142.0,4667.0,4565.0,1760.0,2504.0,,0.0,692.0,237.0,455.0,346.512,-0.09247135842880523,-0.09574468085106383,2.59375,1.4227272727272726,0.31458363930092526,0.14157119476268412,0.09308510638297872,,,,
DASH,2022,2022-12-31,USD,6583.0,,-1124.0,-1365.0,9789.0,3021.0,6754.0,4720.0,2544.0,1977.0,,0.0,367.0,346.0,21.0,391.471,-0.1707428224213884,-0.20735227100106335,1.8553459119496856,0.777122641509434,0.3086117070180815,0.055749658210542306,0.0031900349384778974,0.3467675941080197,-0.07827146399258318,-0.08989507144450082,-0.0059719322828437615
