ticker,canonical_field,required_for_q1,years_present,year_count,expected_year_count,coverage_complete_flag,manual_match_count,review_mapping_count
AMZN,capital_expenditure,1,2021|2022|2023,3,3,1,3,0
AMZN,net_income,1,2021|2022|2023,3,3,1,3,0
AMZN,operating_cash_flow,1,2021|2022|2023,3,3,1,3,0
AMZN,operating_income,1,2021|2022|2023,3,3,1,3,0
AMZN,revenue,1,2021|2022|2023,3,3,1,3,0
AMZN,total_assets,1,2021|2022|2023,3,3,1,3,0
AMZN,total_equity,1,2021|2022|2023,3,3,1,3,0
AMZN,total_liabilities,1,2021|2022|2023,3,3,1,3,0
BKNG,capital_expenditure,1,2021|2022|2023,3,3,1,3,0
BKNG,net_income,1,2021|2022|2023,3,3,1,3,0
BKNG,operating_cash_flow,1,2021|2022|2023,3,3,1,3,0
BKNG,operating_income,1,2021|2022|2023,3,3,1,3,0
BKNG,revenue,1,2021|2022|2023,3,3,1,3,0
BKNG,total_assets,1,2021|2022|2023,3,3,1,3,0
BKNG,total_equity,1,2021|2022|2023,3,3,1,3,0
BKNG,total_liabilities,1,2021|2022|2023,3,3,1,3,0
CHWY,capital_expenditure,1,2021|2022|2023,3,3,1,3,0
CHWY,net_income,1,2021|2022|2023,3,3,1,3,0
CHWY,operating_cash_flow,1,2021|2022|2023,3,3,1,3,0
CHWY,operating_income,1,2021|2022|2023,3,3,1,3,0
CHWY,revenue,1,2021|2022|2023,3,3,1,3,0
CHWY,total_assets,1,2021|2022|2023,3,3,1,3,0
CHWY,total_equity,1,2021|2022|2023,3,3,1,2,1
CHWY,total_liabilities,1,2021|2022|2023,3,3,1,3,0
DASH,capital_expenditure,1,2021|2022|2023,3,3,1,0,3
DASH,net_income,1,2021|2022|2023,3,3,1,3,0
DASH,operating_cash_flow,1,2021|2022|2023,3,3,1,3,0
DASH,operating_income,1,2021|2022|2023,3,3,1,3,0
DASH,revenue,1,2021|2022|2023,3,3,1,3,0
DASH,total_assets,1,2021|2022|2023,3,3,1,3,0
DASH,total_equity,1,2021|2022|2023,3,3,1,3,0
DASH,total_liabilities,1,2021|2022|2023,3,3,1,3,0
EBAY,capital_expenditure,1,2021|2022|2023,3,3,1,3,0
EBAY,net_income,1,2021|2022|2023,3,3,1,3,0
EBAY,operating_cash_flow,1,2021|2022|2023,3,3,1,3,0
EBAY,operating_income,1,2021|2022|2023,3,3,1,3,0
EBAY,revenue,1,2021|2022|2023,3,3,1,3,0
EBAY,total_assets,1,2021|2022|2023,3,3,1,3,0
EBAY,total_equity,1,2021|2022|2023,3,3,1,3,0
EBAY,total_liabilities,1,2021|2022|2023,3,3,1,3,0
ETSY,capital_expenditure,1,2021|2022|2023,3,3,1,0,3
ETSY,net_income,1,2021|2022|2023,3,3,1,3,0
ETSY,operating_cash_flow,1,2021|2022|2023,3,3,1,3,0
ETSY,operating_income,1,2021|2022|2023,3,3,1,3,0
ETSY,revenue,1,2021|2022|2023,3,3,1,3,0
ETSY,total_assets,1,2021|2022|2023,3,3,1,3,0
ETSY,total_equity,1,2021|2022|2023,3,3,1,3,0
ETSY,total_liabilities,1,2021|2022|2023,3,3,1,3,0
