company_id,ticker,fiscal_year,period_end_date,revenue,operating_income,net_income,total_assets,total_liabilities,total_equity,current_assets,current_liabilities,cash_and_equivalents,inventory,total_debt,operating_cash_flow,capital_expenditure,free_cash_flow,row_data_as_of,prior_fiscal_year,prior_total_assets,prior_total_equity,prior_revenue,company_name,formal_peer_group,status_group,formal_sample_status,comparability_note,data_as_of,average_assets,average_equity,net_margin,operating_margin,current_ratio,quick_ratio,cash_ratio,liabilities_to_assets,total_debt_to_assets,operating_cash_flow_margin,free_cash_flow_margin,capital_expenditure_intensity,free_cash_flow_conversion,revenue_growth,average_balance_available_flag,asset_turnover,equity_multiplier,roe,roa,positive_average_equity_flag,dupont_roe,dupont_valid_flag,roe_valid_flag,near_zero_average_equity_flag,dupont_identity_gap,dupont_validity_reason,metric_flag_count,unresolved_conflict_count,quality_warning_count,quality_warnings,source_selection_method,source_selection_note
abnb,ABNB,2020,2020-12-31,3378.0,-3590.0,-4585.0,10491.499,7589.716,2901.0,8916.386,5139.779,5480.557,,,-740.0,37.0,-777.0,2026-08-05,2019,,-808.0,4805.239,Airbnb Inc,marketplace_platform,active,formal_included,Marketplace revenue recognition and asset intensity differ; interpret margin and turnover together.,2026-08-05,,1046.5,-1.3573120189461219,-1.0627590290112492,1.7347800362622594,,1.0663020725210168,0.723415786438144,,-0.21906453522794553,-0.23001776198934282,0.010953226761397277,1.05,-0.297017276351915,False,,,-4.381270903010034,,True,,False,False,False,,missing_prior_balance,3,0,3,Consecutive prior-year assets/equity are unavailable; resolved_latest_restated: Later valid filing supplies the current comparative value,latest_valid_restated_sec_companyfacts,"Latest valid filing through 2026-08-05; filing date, source priority, and accession provide deterministic selection."
abnb,ABNB,2021,2021-12-31,5992.0,429.0,-352.0,13708.0,8933.0,4775.0,12386.0,6359.0,6067.0,,,2313.0,25.0,2288.0,2026-08-05,2020,10491.499,2901.0,3378.0,Airbnb Inc,marketplace_platform,active,formal_included,Marketplace revenue recognition and asset intensity differ; interpret margin and turnover together.,2026-08-05,12099.7495,3838.0,-0.05874499332443257,0.0715954606141522,1.947790533102689,,0.9540808303192326,0.6516632623285673,,0.38601468624833113,0.3818424566088118,0.004172229639519359,0.9891915261565067,0.7738306690349319,True,0.49521686378713875,3.1526184210526313,-0.09171443460135487,-0.0290915113573219,True,-0.09171443460135487,True,True,False,0.0,valid,2,0,2,resolved_latest_restated: Later valid filing supplies the current comparative value,latest_valid_restated_sec_companyfacts,"Latest valid filing through 2026-08-05; filing date, source priority, and accession provide deterministic selection."
abnb,ABNB,2022,2022-12-31,8399.0,1802.0,1893.0,16038.0,10478.0,5560.0,14861.0,7978.0,7378.0,,,3430.0,25.0,3405.0,2026-08-05,2021,13708.0,4775.0,5992.0,Airbnb Inc,marketplace_platform,active,formal_included,Marketplace revenue recognition and asset intensity differ; interpret margin and turnover together.,2026-08-05,14873.0,5167.5,0.2253839742826527,0.21454935111322776,1.8627475557783906,,0.9247931812484332,0.6533233570270607,,0.4083819502321705,0.40540540540540543,0.002976544826765091,0.9927113702623906,0.401702269692924,True,0.5647145834734082,2.8781809385582973,0.36632801161103046,0.12727761715860955,True,0.36632801161103046,True,True,False,0.0,valid,0,0,0,,latest_valid_restated_sec_companyfacts,"Latest valid filing through 2026-08-05; filing date, source priority, and accession provide deterministic selection."
abnb,ABNB,2023,2023-12-31,9917.0,1518.0,4792.0,20645.0,12480.0,8165.0,16509.0,9950.0,6874.0,,,3884.0,47.0,3837.0,2026-08-05,2022,16038.0,5560.0,8399.0,Airbnb Inc,marketplace_platform,active,formal_included,Marketplace revenue recognition and asset intensity differ; interpret margin and turnover together.,2026-08-05,18341.5,6862.5,0.483210648381567,0.1530704850257134,1.6591959798994975,,0.6908542713567839,0.604504722693146,,0.3916507008167793,0.3869113643238883,0.004739336492890996,0.9878990731204943,0.18073580188117644,True,0.5406864215031486,2.6727140255009108,0.6982877959927141,0.2612654363056457,True,0.6982877959927141,True,True,False,0.0,valid,0,0,0,,latest_valid_restated_sec_companyfacts,"Latest valid filing through 2026-08-05; filing date, source priority, and accession provide deterministic selection."
abnb,ABNB,2024,2024-12-31,11102.0,2553.0,2648.0,20959.0,12547.0,8412.0,17180.0,10161.0,6864.0,,,4518.0,34.0,4484.0,2026-08-05,2023,20645.0,8165.0,9917.0,Airbnb Inc,marketplace_platform,active,formal_included,Marketplace revenue recognition and asset intensity differ; interpret margin and turnover together.,2026-08-05,20802.0,8288.5,0.23851558277787785,0.2299585660241398,1.6907784666863497,,0.6755240625922645,0.598644973519729,,0.4069537020356693,0.4038911907764367,0.0030625112592325707,0.9924745462594068,0.11949178178884745,True,0.5336986828189597,2.509742414188333,0.3194787959220607,0.12729545236034998,True,0.31947879592206063,True,True,False,5.551115123125783e-17,valid,1,0,1,No consecutive t+1 annual observation is available,latest_valid_restated_sec_companyfacts,"Latest valid filing through 2026-08-05; filing date, source priority, and accession provide deterministic selection."
amzn,AMZN,2018,2018-12-31,232887.0,12421.0,10073.0,162648.0,119099.0,43549.0,75101.0,68391.0,31750.0,17174.0,,30723.0,13427.0,17296.0,2026-08-05,2017,131310.0,27709.0,177866.0,Amazon.com Inc,inventory_led_ecommerce,active,formal_included,"Inventory ownership, fulfillment intensity, and hybrid business exposure differ within this peer group.",2026-08-05,146979.0,35629.0,0.04325273630559026,0.053334879147397665,1.098112324721089,0.8469974119401675,0.4642423710722171,0.732250012296493,,0.13192234860683508,0.0742677779352218,0.057654570671613274,0.5629658561989389,0.3093396152159491,True,1.5844916620741738,4.125263128350501,0.28271913329029724,0.06853360003810068,True,0.28271913329029724,True,True,False,0.0,valid,0,0,0,,latest_valid_restated_sec_companyfacts,"Latest valid filing through 2026-08-05; filing date, source priority, and accession provide deterministic selection."
amzn,AMZN,2019,2019-12-31,280522.0,14541.0,11588.0,225248.0,163188.0,62060.0,96334.0,87812.0,36092.0,20497.0,,38514.0,16861.0,21653.0,2026-08-05,2018,162648.0,43549.0,232887.0,Amazon.com Inc,inventory_led_ecommerce,active,formal_included,"Inventory ownership, fulfillment intensity, and hybrid business exposure differ within this peer group.",2026-08-05,193948.0,52804.5,0.04130870306072251,0.05183550666257905,1.0970482394205803,0.8636291167494192,0.4110144399398715,0.7244814604347208,,0.13729404467385803,0.07718824192041979,0.060105802753438235,0.5622111439995846,0.20454125820676983,True,1.4463773795037844,3.6729445407114922,0.21945099376000152,0.059747973683667785,True,0.2194509937600015,True,True,False,2.7755575615628914e-17,valid,0,0,0,,latest_valid_restated_sec_companyfacts,"Latest valid filing through 2026-08-05; filing date, source priority, and accession provide deterministic selection."
amzn,AMZN,2020,2020-12-31,386064.0,22899.0,21331.0,321195.0,227791.0,93404.0,132733.0,126385.0,42122.0,23795.0,,66064.0,40140.0,25924.0,2026-08-05,2019,225248.0,62060.0,280522.0,Amazon.com Inc,inventory_led_ecommerce,active,formal_included,"Inventory ownership, fulfillment intensity, and hybrid business exposure differ within this peer group.",2026-08-05,273221.5,77732.0,0.05525249699531684,0.05931399975133657,1.0502274795268425,0.8619535546148672,0.33328322190133325,0.709198461993493,,0.17112188652658628,0.06714948816776493,0.10397239835882134,0.39240736255751996,0.37623430604373276,True,1.4130073950988484,3.5149166366489992,0.2744172284258735,0.07807218685205959,True,0.27441722842587357,True,True,False,-5.551115123125783e-17,valid,0,0,0,,latest_valid_restated_sec_companyfacts,"Latest valid filing through 2026-08-05; filing date, source priority, and accession provide deterministic selection."
amzn,AMZN,2021,2021-12-31,469822.0,24879.0,33364.0,420549.0,282304.0,138245.0,161580.0,142266.0,36220.0,32640.0,,46327.0,61053.0,-14726.0,2026-08-05,2020,321195.0,93404.0,386064.0,Amazon.com Inc,inventory_led_ecommerce,active,formal_included,"Inventory ownership, fulfillment intensity, and hybrid business exposure differ within this peer group.",2026-08-05,370872.0,115824.5,0.07101412875514557,0.052954097509269465,1.1357597739445826,0.9063303951752352,0.2545935079358385,0.6712749287241201,,0.09860542929024184,-0.03134378551877094,0.12994921480901278,-0.3178707880933365,0.21695366571345676,True,1.2668036411484285,3.2020168444500086,0.2880564992726064,0.08996095688000172,True,0.2880564992726064,True,True,False,0.0,valid,0,0,0,,latest_valid_restated_sec_companyfacts,"Latest valid filing through 2026-08-05; filing date, source priority, and accession provide deterministic selection."
amzn,AMZN,2022,2022-12-31,513983.0,12248.0,-2722.0,462675.0,316632.0,146043.0,146791.0,155393.0,53888.0,34405.0,,46752.0,63645.0,-16893.0,2026-08-05,2021,420549.0,138245.0,469822.0,Amazon.com Inc,inventory_led_ecommerce,active,formal_included,"Inventory ownership, fulfillment intensity, and hybrid business exposure differ within this peer group.",2026-08-05,441612.0,142144.0,-0.005295895000418302,0.023829581912242232,0.9446435811136924,0.7232372114574016,0.3467852477267316,0.6843507861890096,,0.09096020685509054,-0.032866845790619534,0.12382705264571008,-0.361332135523614,0.09399517263985091,True,1.163879151834642,3.106793111211166,-0.01914959477712742,-0.006163781781292175,True,-0.019149594777127417,True,True,False,-3.469446951953614e-18,valid,0,0,0,,latest_valid_restated_sec_companyfacts,"Latest valid filing through 2026-08-05; filing date, source priority, and accession provide deterministic selection."
amzn,AMZN,2023,2023-12-31,574785.0,36852.0,30425.0,527854.0,325979.0,201875.0,172351.0,164917.0,73387.0,33318.0,,84946.0,52729.0,32217.0,2026-08-05,2022,462675.0,146043.0,513983.0,Amazon.com Inc,inventory_led_ecommerce,active,formal_included,"Inventory ownership, fulfillment intensity, and hybrid business exposure differ within this peer group.",2026-08-05,495264.5,173959.0,0.05293283575597832,0.0641144079960333,1.0450772206625152,0.8430483212767634,0.4449935422060794,0.6175552330758126,,0.14778743356211452,0.0560505232391242,0.09173691032299033,0.37926447390106655,0.1182957412988368,True,1.1605616796681368,2.8470185503480705,0.1748975333268184,0.06143182077455582,True,0.17489753332681834,True,True,False,5.551115123125783e-17,valid,0,0,0,,latest_valid_restated_sec_companyfacts,"Latest valid filing through 2026-08-05; filing date, source priority, and accession provide deterministic selection."
amzn,AMZN,2024,2024-12-31,637959.0,68593.0,59248.0,624894.0,338924.0,285970.0,190867.0,179431.0,78779.0,34214.0,,115877.0,82999.0,32878.0,2026-08-05,2023,527854.0,201875.0,574785.0,Amazon.com Inc,inventory_led_ecommerce,active,formal_included,"Inventory ownership, fulfillment intensity, and hybrid business exposure differ within this peer group.",2026-08-05,576374.0,243922.5,0.09287117197186653,0.1075194487420038,1.063734806137178,0.8730542659852534,0.43904899376361944,0.5423703860174686,,0.1816370644508503,0.05153622724971354,0.13010083720113674,0.28373188812275085,0.1099089224666614,True,1.1068490251121668,2.3629390482632804,0.24289682173641217,0.10279436615808485,True,0.2428968217364122,True,True,False,-2.7755575615628914e-17,valid,1,0,1,No consecutive t+1 annual observation is available,latest_valid_restated_sec_companyfacts,"Latest valid filing through 2026-08-05; filing date, source priority, and accession provide deterministic selection."
