company_id,ticker,accession_number,form,filing_date,period_start,period_end,fiscal_year,fiscal_period,duration_days,canonical_field,taxonomy,source_tag,value_raw,value_standardized,unit,flow_or_stock,source_priority,source_url,loaded_at,cik,source_unit,reported_fiscal_year,frame,is_latest_restated,source_selection_method,source_selection_note
abnb,ABNB,0001559720-22-000006,10-K,2022-02-25,2019-01-01,2019-12-31,2019,FY,364.0,capital_expenditure,us-gaap,PaymentsToAcquirePropertyPlantAndEquipment,125452000.0,125.452,USD_millions,flow,1,https://www.sec.gov/Archives/edgar/data/1559720/000155972022000006/,2026-08-05T17:49:37+00:00,0001559720,USD,2021,CY2019,True,latest_valid_restated_sec_companyfacts,Latest valid filing available as of 2026-08-05; configured source-tag priority breaks valid same-filing ties.
abnb,ABNB,0001559720-22-000006,10-K,2022-02-25,,2019-12-31,2019,FY,,cash_and_equivalents,us-gaap,CashAndCashEquivalentsAtCarryingValue,2013547000.0,2013.547,USD_millions,stock,1,https://www.sec.gov/Archives/edgar/data/1559720/000155972022000006/,2026-08-05T17:49:37+00:00,0001559720,USD,2021,CY2019Q4I,True,latest_valid_restated_sec_companyfacts,Latest valid filing available as of 2026-08-05; configured source-tag priority breaks valid same-filing ties.
abnb,ABNB,0001559720-22-000006,10-K,2022-02-25,2019-01-01,2019-12-31,2019,FY,364.0,free_cash_flow,project,derived:OperatingCashFlow-CapitalExpenditure,,97.275,USD,flow,0,https://www.sec.gov/Archives/edgar/data/1559720/000155972022000006/,2026-08-05T17:49:37+00:00,0001559720,USD,2021,CY2019,True,derived_from_latest_valid_components,Operating cash flow minus positive CapEx outflow.
abnb,ABNB,0001559720-22-000006,10-K,2022-02-25,2019-01-01,2019-12-31,2019,FY,364.0,net_income,us-gaap,NetIncomeLoss,-674339000.0,-674.339,USD_millions,flow,1,https://www.sec.gov/Archives/edgar/data/1559720/000155972022000006/,2026-08-05T17:49:37+00:00,0001559720,USD,2021,CY2019,True,latest_valid_restated_sec_companyfacts,Latest valid filing available as of 2026-08-05; configured source-tag priority breaks valid same-filing ties.
abnb,ABNB,0001559720-22-000006,10-K,2022-02-25,2019-01-01,2019-12-31,2019,FY,364.0,operating_cash_flow,us-gaap,NetCashProvidedByUsedInOperatingActivities,222727000.0,222.727,USD_millions,flow,1,https://www.sec.gov/Archives/edgar/data/1559720/000155972022000006/,2026-08-05T17:49:37+00:00,0001559720,USD,2021,CY2019,True,latest_valid_restated_sec_companyfacts,Latest valid filing available as of 2026-08-05; configured source-tag priority breaks valid same-filing ties.
abnb,ABNB,0001559720-22-000006,10-K,2022-02-25,2019-01-01,2019-12-31,2019,FY,364.0,operating_income,us-gaap,OperatingIncomeLoss,-501543000.0,-501.543,USD_millions,flow,1,https://www.sec.gov/Archives/edgar/data/1559720/000155972022000006/,2026-08-05T17:49:37+00:00,0001559720,USD,2021,CY2019,True,latest_valid_restated_sec_companyfacts,Latest valid filing available as of 2026-08-05; configured source-tag priority breaks valid same-filing ties.
abnb,ABNB,0001559720-22-000006,10-K,2022-02-25,2019-01-01,2019-12-31,2019,FY,364.0,revenue,us-gaap,RevenueFromContractWithCustomerExcludingAssessedTax,4805239000.0,4805.239,USD_millions,flow,1,https://www.sec.gov/Archives/edgar/data/1559720/000155972022000006/,2026-08-05T17:49:37+00:00,0001559720,USD,2021,CY2019,True,latest_valid_restated_sec_companyfacts,Latest valid filing available as of 2026-08-05; configured source-tag priority breaks valid same-filing ties.
abnb,ABNB,0001559720-23-000003,10-K,2023-02-17,,2019-12-31,2019,FY,,total_equity,us-gaap,StockholdersEquity,-808000000.0,-808.0,USD_millions,stock,1,https://www.sec.gov/Archives/edgar/data/1559720/000155972023000003/,2026-08-05T17:49:37+00:00,0001559720,USD,2022,CY2019Q4I,True,latest_valid_restated_sec_companyfacts,Latest valid filing available as of 2026-08-05; configured source-tag priority breaks valid same-filing ties.
abnb,ABNB,0001559720-23-000003,10-K,2023-02-17,2020-01-01,2020-12-31,2020,FY,365.0,capital_expenditure,us-gaap,PaymentsToAcquirePropertyPlantAndEquipment,37000000.0,37.0,USD_millions,flow,1,https://www.sec.gov/Archives/edgar/data/1559720/000155972023000003/,2026-08-05T17:49:37+00:00,0001559720,USD,2022,CY2020,True,latest_valid_restated_sec_companyfacts,Latest valid filing available as of 2026-08-05; configured source-tag priority breaks valid same-filing ties.
abnb,ABNB,0001559720-22-000006,10-K,2022-02-25,,2020-12-31,2020,FY,,cash_and_equivalents,us-gaap,CashAndCashEquivalentsAtCarryingValue,5480557000.0,5480.557,USD_millions,stock,1,https://www.sec.gov/Archives/edgar/data/1559720/000155972022000006/,2026-08-05T17:49:37+00:00,0001559720,USD,2021,CY2020Q4I,True,latest_valid_restated_sec_companyfacts,Latest valid filing available as of 2026-08-05; configured source-tag priority breaks valid same-filing ties.
