source_selection_method,canonical_field,selected_fact_count,companies
derived_from_latest_valid_components,free_cash_flow,158,21
latest_valid_restated_sec_companyfacts,capital_expenditure,158,21
latest_valid_restated_sec_companyfacts,cash_and_equivalents,150,21
latest_valid_restated_sec_companyfacts,current_assets,149,21
latest_valid_restated_sec_companyfacts,current_liabilities,149,21
latest_valid_restated_sec_companyfacts,inventory,94,14
latest_valid_restated_sec_companyfacts,net_income,158,21
latest_valid_restated_sec_companyfacts,operating_cash_flow,158,21
latest_valid_restated_sec_companyfacts,operating_income,156,21
latest_valid_restated_sec_companyfacts,revenue,157,21
latest_valid_restated_sec_companyfacts,total_assets,150,21
latest_valid_restated_sec_companyfacts,total_debt,14,4
latest_valid_restated_sec_companyfacts,total_equity,158,21
latest_valid_restated_sec_companyfacts,total_liabilities,150,21
