ticker,fiscal_year,revenue,operating_margin,net_margin,current_ratio,cash_ratio,liabilities_to_assets,operating_cash_flow_margin,free_cash_flow_margin,revenue_growth,operating_margin_change,free_cash_flow_margin_change,liabilities_to_assets_change,risk_score,triggered_signals,risk_tier,risk_rank
ETSY,2022,2566.111,-0.2566373785077886,-0.2705603927499629,2.396091839399767,1.4582836700936281,1.2076971917231414,0.2664000115349648,0.2544196256514235,0.10175414342106048,-0.45659839372645117,-0.013227642794861216,0.3717499928935547,4,Negative operating income; Operating margin deterioration; Negative equity; Rising liabilities-to-assets,High,1
DASH,2022,6583.0,-0.1707428224213884,-0.20735227100106335,1.8553459119496856,0.777122641509434,0.3086117070180815,0.055749658210542306,0.0031900349384778974,0.3467675941080197,-0.07827146399258318,-0.08989507144450082,-0.0059719322828437615,3,Negative operating income; Operating margin deterioration; Free cash flow deterioration,Medium,2
EBAY,2022,9795.0,0.23991832567636548,-0.12955589586523736,2.175134628892531,0.504331538281433,0.7528537170263789,0.2301174068402246,0.18427769270035732,-0.059980806142034604,-0.04059990848870168,-0.028102345687358615,0.12008875045235357,3,Revenue decline; Operating margin deterioration; Rising liabilities-to-assets,Medium,3
AMZN,2022,513983.0,0.023829581912242232,-0.005295895000418302,0.9446435811136924,0.3467852477267316,0.6843507861890096,0.09096020685509054,-0.032866845790619534,0.09399517263985091,-0.029124515597027233,-0.001523060271848592,0.013075857464889484,2,Negative free cash flow; Current ratio below 1,Medium,4
BKNG,2022,17090.0,0.29853715623171445,0.1789350497366881,1.8642907717724806,1.442176067972622,0.8903040100942392,0.383499122293739,0.36196606202457576,0.5595911662712174,0.07075836448139505,0.13236211969933392,0.15162967313725773,1,Rising liabilities-to-assets,Low,5
CHWY,2022,10119.0,0.0055757485917580785,0.004931218499851764,0.834253424215333,0.18145085839281552,0.9363969937511359,0.03456636031228382,0.011806206146852455,0.12841984310514754,0.013779457869144508,0.010851972665535057,-0.05653971995138074,1,Current ratio below 1,Low,6
CHWY,2021,8967.407,-0.00820370927738643,-0.008386705320724263,0.804637909536203,0.3666403425419134,0.9929367137025167,0.021382212271618763,0.0009542334813173977,,,,,2,Negative operating income; Current ratio below 1,Medium,1
AMZN,2021,469822.0,0.052954097509269465,0.07101412875514557,1.1357597739445826,0.2545935079358385,0.6712749287241201,0.09860542929024184,-0.03134378551877094,,,,,1,Negative free cash flow,Low,2
DASH,2021,4888.0,-0.09247135842880523,-0.09574468085106383,2.59375,1.4227272727272726,0.31458363930092526,0.14157119476268412,0.09308510638297872,,,,,1,Negative operating income,Low,3
BKNG,2021,10958.0,0.2277787917503194,0.10631502098923161,2.1045469100224143,1.781460134486071,0.7386743369569815,0.2573462310640628,0.22960394232524184,,,,,0,"",Low,4
EBAY,2021,10420.0,0.28051823416506716,1.3059500959692898,1.9712245781047166,0.29835569017741237,0.6327649665740254,0.2549904030710173,0.21238003838771594,,,,,0,"",Low,5
ETSY,2021,2329.114,0.19996101521866255,0.21188615069936464,2.179218893155812,1.267399624424128,0.8359471988295867,0.27974199631276103,0.2676472684462847,,,,,0,"",Low,6
BKNG,2023,21365.0,0.2731102270067868,0.2007488883688275,1.2778694673668418,0.9082520630157539,1.112726973954482,0.3437397612918324,0.327591855838989,0.2501462843768285,-0.025426929224927675,-0.034374206185586786,0.22242296386024285,2,Negative equity; Rising liabilities-to-assets,Medium,1
CHWY,2023,11147.72,-0.0021192674376464427,0.003550501806647458,0.9969069727890351,0.2852994276786378,0.8398908515019999,0.04361528635451913,0.030762254523795,0.10166221958691568,-0.007695016029404521,0.018956048376942543,-0.096506142249136,2,Negative operating income; Current ratio below 1,Medium,2
DASH,2023,8635.0,-0.06705269253039954,-0.06462072958888246,1.6413489736070381,0.7788856304985338,0.3714364793800166,0.1937463810075275,0.15622466705269253,0.3117119854169832,0.10369012989098887,0.15303463211421464,0.06282477236193512,2,Negative operating income; Rising liabilities-to-assets,Medium,3
EBAY,2023,10112.0,0.1919501582278481,0.27363528481012656,2.4371681415929203,0.4391592920353982,0.7041628122109158,0.2399129746835443,0.19481803797468356,0.03236345074017355,-0.04796816744851737,0.010540345274326235,-0.04869090481546312,1,Operating margin deterioration,Low,4
ETSY,2023,2748.377,0.10182045621834268,0.11190895572186785,2.2094653627488636,1.2863638729791596,1.2024707678558129,0.2567016824838805,0.24218547892083217,0.07102810439610763,0.3584578347261313,-0.012234146730591339,-0.005226423867328522,1,Negative equity,Low,5
AMZN,2023,574785.0,0.0641144079960333,0.05293283575597832,1.0450772206625152,0.4449935422060794,0.6175552330758126,0.14778743356211452,0.0560505232391242,0.1182957412988368,0.04028482608379107,0.08891736902974373,-0.06679555311319696,0,"",Low,6
