conflict_id,company_id,ticker,fiscal_year,canonical_field,winning_accession,winning_filing_date,winning_source_tag,winning_value,discarded_accession,discarded_filing_date,discarded_source_tag,discarded_value,relative_difference,conflict_severity,resolution_rule,resolution_status,review_note,created_at
B1-00001,abnb,ABNB,2019,total_equity,0001559720-23-000003,2023-02-17,StockholdersEquity,-808.0,0001559720-22-000006,2022-02-25,StockholdersEquity,-807.685,0.00038985148514858236,low,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00002,abnb,ABNB,2020,capital_expenditure,0001559720-23-000003,2023-02-17,PaymentsToAcquirePropertyPlantAndEquipment,37.0,0001559720-22-000006,2022-02-25,PaymentsToAcquirePropertyPlantAndEquipment,37.371,0.010027027027027086,medium,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00003,abnb,ABNB,2020,net_income,0001559720-23-000003,2023-02-17,NetIncomeLoss,-4585.0,0001559720-23-000003,2023-02-17,NetIncomeLossAvailableToCommonStockholdersBasic,-4585.0,0.0,low,latest valid filing then configured source-tag priority,resolved_tag_priority,Configured canonical tag priority selects the concept-aligned value,2026-08-05T00:00:00+00:00
B1-00004,abnb,ABNB,2020,net_income,0001559720-23-000003,2023-02-17,NetIncomeLoss,-4585.0,0001559720-22-000006,2022-02-25,NetIncomeLoss,-4584.716,6.194111232271554e-05,low,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00005,abnb,ABNB,2020,operating_cash_flow,0001559720-23-000003,2023-02-17,NetCashProvidedByUsedInOperatingActivities,-740.0,0001559720-22-000006,2022-02-25,NetCashProvidedByUsedInOperatingActivities,-629.732,0.14901081081081086,high,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00006,abnb,ABNB,2020,operating_income,0001559720-23-000003,2023-02-17,OperatingIncomeLoss,-3590.0,0001559720-22-000006,2022-02-25,OperatingIncomeLoss,-3590.147,4.0947075208895406e-05,low,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00007,abnb,ABNB,2020,revenue,0001559720-23-000003,2023-02-17,RevenueFromContractWithCustomerExcludingAssessedTax,3378.0,0001559720-22-000006,2022-02-25,RevenueFromContractWithCustomerExcludingAssessedTax,3378.199,5.8910597986995e-05,low,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00008,abnb,ABNB,2020,total_equity,0001559720-24-000006,2024-02-16,StockholdersEquity,2901.0,0001559720-23-000003,2023-02-17,StockholdersEquity,2901.0,0.0,low,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00009,abnb,ABNB,2020,total_equity,0001559720-24-000006,2024-02-16,StockholdersEquity,2901.0,0001559720-22-000006,2022-02-25,StockholdersEquity,2901.783,0.0002699069286452609,low,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00010,abnb,ABNB,2021,capital_expenditure,0001559720-23-000003,2023-02-17,PaymentsToAcquirePropertyPlantAndEquipment,25.0,0001559720-22-000006,2022-02-25,PaymentsToAcquirePropertyPlantAndEquipment,25.322,0.012879999999999968,medium,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
