ticker,fiscal_year,period_end_date,currency,revenue,gross_profit,operating_income,net_income,total_assets,total_liabilities,total_equity,current_assets,current_liabilities,cash_and_equivalents,inventory,long_term_debt,operating_cash_flow,capital_expenditure,free_cash_flow,shares_outstanding,source,source_url,notes
AMZN,2021,2021-12-31,USD,469822,197478,24879,33364,420549,282304,138245,161580,142266,36220,32640,48744,46327,61053,-14726,10175,SEC 10-K,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000008/amzn-20231231.htm | https://www.sec.gov/Archives/edgar/data/1018724/000101872423000004/amzn-20221231.htm,"USD millions; fiscal-year-end shares in millions. Gross profit derived as revenue minus cost of sales. CapEx is gross purchases of property and equipment, entered as a positive amount; project FCF = OCF - CapEx and therefore differs from Amazon's issuer-defined non-GAAP FCF. Latest comparative 2023 10-K used for income/cash-flow data; 2021 balance sheet from 2022 10-K."
AMZN,2022,2022-12-31,USD,513983,225152,12248,-2722,462675,316632,146043,146791,155393,53888,34405,67150,46752,63645,-16893,10242,SEC 10-K,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000008/amzn-20231231.htm,"USD millions; fiscal-year-end shares in millions. Gross profit derived as revenue minus cost of sales. CapEx is gross purchases of property and equipment, entered as a positive amount; project FCF = OCF - CapEx and therefore differs from Amazon's issuer-defined non-GAAP FCF. Latest comparative 2023 10-K."
AMZN,2023,2023-12-31,USD,574785,270046,36852,30425,527854,325979,201875,172351,164917,73387,33318,58314,84946,52729,32217,10383,SEC 10-K,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000008/amzn-20231231.htm,"USD millions; fiscal-year-end shares in millions. Gross profit derived as revenue minus cost of sales. CapEx is gross purchases of property and equipment, entered as a positive amount; project FCF = OCF - CapEx and therefore differs from Amazon's issuer-defined non-GAAP FCF. Latest comparative 2023 10-K."
EBAY,2021,2021-12-31,USD,10420,7770,2923,13608,26626,16848,9778,9111,4622,1379,,7727,2657,444,2213,594,SEC 10-K,https://www.sec.gov/Archives/edgar/data/1065088/000106508824000036/ebay-20231231.htm | https://www.sec.gov/Archives/edgar/data/1065088/000106508823000006/ebay-20221231.htm,USD millions; fiscal-year-end shares in millions. Inventory is not separately reported for the marketplace model and is left blank rather than set to zero. Net income and OCF are consolidated figures and include discontinued operations; 2021 net income is heavily affected by disposal gains. CapEx entered as positive; FCF = OCF - CapEx. Latest comparative 2023 10-K used for income/cash-flow data; 2021 balance sheet from 2022 10-K.
EBAY,2022,2022-12-31,USD,9795,7115,2350,-1269,20850,15697,5153,9290,4271,2154,,7721,2254,449,1805,539,SEC 10-K,https://www.sec.gov/Archives/edgar/data/1065088/000106508824000036/ebay-20231231.htm,USD millions; fiscal-year-end shares in millions. Inventory is not separately reported for the marketplace model and is left blank rather than set to zero. Net income and OCF are consolidated figures and include discontinued operations. CapEx entered as positive; FCF = OCF - CapEx. Latest comparative 2023 10-K.
EBAY,2023,2023-12-31,USD,10112,7279,1941,2767,21620,15224,6396,11016,4520,1985,,6973,2426,456,1970,517,SEC 10-K,https://www.sec.gov/Archives/edgar/data/1065088/000106508824000036/ebay-20231231.htm,USD millions; fiscal-year-end shares in millions. Inventory is not separately reported for the marketplace model and is left blank rather than set to zero. Net income and OCF are consolidated figures and include discontinued operations. CapEx entered as positive; FCF = OCF - CapEx. Latest comparative 2023 10-K.
ETSY,2021,2021-12-31,USD,2329.114,1674.602,465.732,493.507,3831.809,3203.19,628.619,1341.501,615.588,780.196,,2275.418,651.551,28.17,623.381,127.022118,SEC 10-K,https://www.sec.gov/Archives/edgar/data/1370637/000137063724000013/etsy-20231231.htm | https://www.sec.gov/Archives/edgar/data/1370637/000137063723000017/etsy-20221231.htm,USD millions converted from 10-K values reported in USD thousands; fiscal-year-end shares in millions. Inventory is not separately reported and is left blank rather than set to zero. CapEx includes purchases of property and equipment plus development of internal-use software; entered as positive. FCF = OCF - CapEx. Latest comparative 2023 10-K used for income/cash-flow data; 2021 balance sheet from 2022 10-K.
ETSY,2022,2022-12-31,USD,2566.111,1821.519,-658.56,-694.288,2634.961,3182.235,-547.274,1513.743,631.755,921.278,,2279.64,683.612,30.743,652.869,125.054278,SEC 10-K,https://www.sec.gov/Archives/edgar/data/1370637/000137063724000013/etsy-20231231.htm,USD millions converted from 10-K values reported in USD thousands; fiscal-year-end shares in millions. Inventory is not separately reported and is left blank rather than set to zero. CapEx includes purchases of property and equipment plus development of internal-use software; entered as positive. FCF = OCF - CapEx. Latest comparative 2023 10-K.
ETSY,2023,2023-12-31,USD,2748.377,1919.702,279.841,307.568,2685.4,3229.115,-543.715,1570.446,710.781,914.323,,2283.817,705.513,39.896,665.617,119.068884,SEC 10-K,https://www.sec.gov/Archives/edgar/data/1370637/000137063724000013/etsy-20231231.htm,USD millions converted from 10-K values reported in USD thousands; fiscal-year-end shares in millions. Inventory is not separately reported and is left blank rather than set to zero. CapEx includes purchases of property and equipment plus development of internal-use software; entered as positive. FCF = OCF - CapEx. Latest comparative 2023 10-K.
CHWY,2021,2022-01-30,USD,8967.407,2385.471,-73.566,-75.207,2086.281,2071.545,14.736,1323.532,1644.879,603.079,560.43,0,191.743,183.186,8.557,420.106,SEC 10-K,https://www.sec.gov/Archives/edgar/data/1766502/000176650224000014/chwy-20240128.htm | https://www.sec.gov/Archives/edgar/data/1766502/000176650223000011/chwy-20230129.htm,USD millions converted from 10-K values reported in USD thousands; fiscal-year-end shares in millions. Chewy fiscal year ends on the Sunday closest to January 31. Income statement and cash-flow values use Chewy 2024 Form 10-K comparative restated data; 2021 balance sheet from Chewy 2023 Form 10-K.
