contract_version,field_name,field_group,calculation_owner,dax_recalculation_allowed
Gate1-v1.0,company_id,identity,SQL,0
Gate1-v1.0,ticker,identity,SQL,0
Gate1-v1.0,company_name,identity,SQL,0
Gate1-v1.0,formal_peer_group,identity,SQL,0
Gate1-v1.0,fiscal_year,identity,SQL,0
Gate1-v1.0,period_end_date,identity,SQL,0
Gate1-v1.0,status_group,identity,SQL,0
Gate1-v1.0,formal_sample_status,identity,SQL,0
Gate1-v1.0,data_as_of,identity,SQL,0
Gate1-v1.0,comparability_note,identity,SQL,0
Gate1-v1.0,roe,dupont_kpi,SQL,0
Gate1-v1.0,net_margin,dupont_kpi,SQL,0
Gate1-v1.0,asset_turnover,dupont_kpi,SQL,0
Gate1-v1.0,equity_multiplier,dupont_kpi,SQL,0
Gate1-v1.0,roe_valid_flag,validity,SQL,0
Gate1-v1.0,dupont_valid_flag,validity,SQL,0
Gate1-v1.0,dupont_validity_reason,validity,SQL,0
Gate1-v1.0,dupont_identity_gap,validity,SQL,0
Gate1-v1.0,peer_median_roe,peer_context,SQL,0
Gate1-v1.0,peer_median_net_margin,peer_context,SQL,0
Gate1-v1.0,peer_median_asset_turnover,peer_context,SQL,0
Gate1-v1.0,peer_median_equity_multiplier,peer_context,SQL,0
Gate1-v1.0,roe_vs_peer_median,peer_context,SQL,0
Gate1-v1.0,net_margin_vs_peer_median,peer_context,SQL,0
Gate1-v1.0,asset_turnover_vs_peer_median,peer_context,SQL,0
Gate1-v1.0,equity_multiplier_vs_peer_median,peer_context,SQL,0
Gate1-v1.0,roe_peer_percentile,peer_context,SQL,0
Gate1-v1.0,valid_peer_roe_count,peer_context,SQL,0
Gate1-v1.0,roe_change,driver,SQL,0
Gate1-v1.0,contribution_margin,driver,SQL,0
Gate1-v1.0,contribution_turnover,driver,SQL,0
Gate1-v1.0,contribution_multiplier,driver,SQL,0
Gate1-v1.0,contribution_sum,driver,SQL,0
Gate1-v1.0,shapley_reconciliation_gap,driver,SQL,0
Gate1-v1.0,dominant_driver,driver,SQL,0
Gate1-v1.0,h1_driver_group,driver,SQL,0
Gate1-v1.0,leverage_contribution_share,driver,SQL,0
Gate1-v1.0,h1_eligible_flag,persistence,SQL,0
Gate1-v1.0,h1_exclusion_reason,persistence,SQL,0
Gate1-v1.0,next_year_peer_relative_change,persistence,SQL,0
Gate1-v1.0,next_year_roe_change,persistence,SQL,0
Gate1-v1.0,roe_reversal_flag,persistence,SQL,0
Gate1-v1.0,rank_retention,persistence,SQL,0
Gate1-v1.0,h1_evidence_tier,persistence_summary,SQL,0
Gate1-v1.0,h1_permitted_inference,persistence_summary,SQL,0
Gate1-v1.0,h1_eligible_transition_count,persistence_summary,SQL,0
Gate1-v1.0,h1_unique_company_count,persistence_summary,SQL,0
Gate1-v1.0,h1_leverage_transition_count,persistence_summary,SQL,0
Gate1-v1.0,h1_operating_transition_count,persistence_summary,SQL,0
Gate1-v1.0,h1_leverage_group_median_outcome,persistence_summary,SQL,0
Gate1-v1.0,h1_operating_group_median_outcome,persistence_summary,SQL,0
Gate1-v1.0,h1_group_median_difference,persistence_summary,SQL,0
Gate1-v1.0,metric_flag_count,quality,SQL,0
Gate1-v1.0,unresolved_conflict_count,quality,SQL,0
Gate1-v1.0,quality_warning_count,quality,SQL,0
Gate1-v1.0,quality_warnings,quality,SQL,0
Gate1-v1.0,source_selection_method,quality,SQL,0
Gate1-v1.0,source_selection_note,quality,SQL,0
Gate1-v1.0,interpretation_note,narrative,SQL,0
Gate1-v1.0,limitations_note,narrative,SQL,0
